Phase,AgentID,Starting Node,Starting Room Name,Current Node,Room Name,Path
0,0,398,DIAGNOSTIC CLASS LAB,78,DIAGNOSTIC CLASS LAB,"[398, 396, 394, 304, 181, 209, 84, 229, 212, 78]"
0,1,209,HUDDLE,429,HUDDLE,"[209, 181, 304, 440, 509, 412, 511, 491, 439, 510, 429]"
0,2,210,RESEARCH,262,RESEARCH,"[210, 206, 373, 488, 489, 433, 509, 440, 304, 394, 396, 262]"
0,3,579,COLLAB HUB,431,COLLAB HUB,"[579, 599, 442, 509, 433, 489, 476, 431]"
0,4,373,RESEARCH,125,RESEARCH,"[373, 206, 210, 240, 211, 99, 209, 84, 229, 226, 125]"
0,5,53,PEDIATRIC CLASS LAB,264,PEDIATRIC CLASS LAB,"[53, 42, 181, 304, 394, 255, 395, 264]"
0,6,29,DIAGNOSTIC CLASS LAB STORAGE,212,DIAGNOSTIC CLASS LAB STORAGE,"[29, 18, 8, 17, 44, 179, 209, 84, 229, 212]"
0,7,348,CLASSROOM,79,CLASSROOM,"[348, 373, 488, 489, 433, 509, 440, 304, 181, 224, 140, 79]"
0,8,577,DIAGNOSTIC CLASS LAB,78,DIAGNOSTIC CLASS LAB,"[577, 592, 440, 304, 181, 209, 84, 229, 212, 78]"
0,9,53,CLASSROOM,249,CLASSROOM,"[53, 42, 181, 304, 394, 249]"
0,10,613,CLASSROOM,31,CLASSROOM,"[613, 593, 488, 373, 206, 55, 69, 53, 32, 31]"
0,11,53,SKILLS LAB STORAGE,419,SKILLS LAB STORAGE,"[53, 69, 55, 206, 373, 488, 489, 433, 512, 419]"
0,12,53,ADL CLASS LAB,250,ADL CLASS LAB,"[53, 42, 181, 304, 394, 250]"
0,13,511,PEDIATRIC CLASS LAB,264,PEDIATRIC CLASS LAB,"[511, 412, 509, 440, 304, 394, 255, 395, 264]"
0,14,53,HUDDLE,153,HUDDLE,"[53, 69, 55, 206, 210, 231, 214, 159, 153]"
0,15,53,COLLAB,227,COLLAB,"[53, 42, 181, 209, 84, 229, 226, 125, 235, 227]"
0,16,577,COLLAB,211,COLLAB,"[577, 592, 440, 304, 181, 209, 99, 211]"
0,17,568,COLLAB,516,COLLAB,"[568, 441, 509, 516]"
0,18,29,CLASSROOM,31,CLASSROOM,"[29, 18, 8, 17, 44, 53, 32, 31]"
0,19,1,COLLAB,490,COLLAB,"[1, 26, 18, 8, 17, 44, 179, 302, 441, 509, 421, 490]"
0,20,179,COLLAB,211,COLLAB,"[179, 209, 99, 211]"
0,21,378,RESEARCH,267,RESEARCH,"[378, 410, 334, 374, 343, 406, 375, 259, 394, 396, 267]"
0,22,610,CLASSROOM (30),84,CLASSROOM (30),"[610, 612, 611, 568, 441, 302, 179, 209, 84]"
0,23,379,COLLAB,158,COLLAB,"[379, 251, 327, 397, 391, 395, 255, 394, 304, 440, 509, 433, 489, 488, 373, 206, 210, 231, 158]"
0,24,396,CLASSROOM,259,CLASSROOM,"[396, 394, 259]"
0,25,209,COLLAB,375,COLLAB,"[209, 181, 304, 394, 259, 375]"
0,26,509,RESEARCH,262,RESEARCH,"[509, 440, 304, 394, 396, 262]"
0,27,398,CLASSROOM STORAGE,58,CLASSROOM STORAGE,"[398, 396, 394, 304, 181, 42, 53, 58]"
0,28,53,COLLAB HUB,439,COLLAB HUB,"[53, 42, 181, 304, 440, 509, 412, 511, 491, 439]"
0,29,53,RESEARCH,260,RESEARCH,"[53, 42, 181, 304, 394, 396, 260]"
0,30,231,CLASSROOM,32,CLASSROOM,"[231, 210, 206, 55, 69, 53, 32]"
0,31,493,RESEARCH,108,RESEARCH,"[493, 509, 440, 304, 181, 209, 84, 229, 226, 125, 108]"
0,32,235,RESEARCH,267,RESEARCH,"[235, 125, 226, 229, 84, 209, 181, 304, 394, 396, 267]"
0,33,35,DIAGNOSTIC CLASS LAB,78,DIAGNOSTIC CLASS LAB,"[35, 53, 42, 181, 209, 84, 229, 212, 78]"
0,34,69,RESEARCH,125,RESEARCH,"[69, 53, 42, 181, 209, 84, 229, 226, 125]"
0,35,231,CLASSROOM,421,CLASSROOM,"[231, 210, 206, 373, 488, 489, 499, 517, 490, 421]"
0,36,613,CLASSROOM,99,CLASSROOM,"[613, 593, 488, 373, 206, 210, 240, 211, 99]"
0,37,210,COLLAB,227,COLLAB,"[210, 240, 211, 99, 209, 84, 229, 226, 125, 235, 227]"
0,38,209,RESEARCH,267,RESEARCH,"[209, 181, 304, 394, 396, 267]"
0,39,488,CLASSROOM,248,CLASSROOM,"[488, 489, 433, 509, 440, 304, 394, 248]"
0,40,394,CLASSROOM,37,CLASSROOM,"[394, 303, 180, 43, 37]"
0,41,206,CLASSROOM (30),83,CLASSROOM (30),"[206, 210, 240, 211, 99, 209, 84, 83]"
0,42,180,COLLAB,228,COLLAB,"[180, 209, 228]"
0,43,394,COLLAB,211,COLLAB,"[394, 304, 181, 209, 99, 211]"
0,44,593,CLASSROOM (30),83,CLASSROOM (30),"[593, 488, 489, 433, 509, 440, 304, 181, 209, 84, 83]"
0,45,579,CLASSROOM,76,CLASSROOM,"[579, 599, 442, 303, 180, 209, 76]"
0,46,509,HUDDLE,290,HUDDLE,"[509, 433, 489, 488, 373, 348, 404, 380, 328, 377, 269, 290]"
0,47,509,CLASSROOM,38,CLASSROOM,"[509, 440, 304, 181, 42, 53, 38]"
0,48,579,CLASSROOM,80,CLASSROOM,"[579, 599, 442, 303, 180, 209, 80]"
0,49,35,COLLAB,227,COLLAB,"[35, 53, 42, 181, 209, 84, 229, 226, 125, 235, 227]"
0,50,509,CLASSROOM,259,CLASSROOM,"[509, 440, 304, 394, 259]"
0,51,394,CLASSROOM,36,CLASSROOM,"[394, 304, 181, 42, 53, 36]"
0,52,1,COLLAB,158,COLLAB,"[1, 26, 18, 8, 17, 44, 53, 69, 55, 206, 210, 231, 158]"
0,53,509,HUDDLE,166,HUDDLE,"[509, 440, 304, 181, 209, 84, 229, 226, 236, 166]"
