vi,vj,Count
206,373,97
373,488,92
488,489,91
181,304,90
304,440,83
304,394,83
181,209,77
440,509,76
433,489,67
433,509,65
206,210,63
84,209,62
55,206,61
53,69,59
55,69,57
84,229,56
348,373,54
42,181,49
394,396,48
42,53,47
226,229,45
210,231,38
35,53,37
125,226,36
380,404,35
348,404,35
8,17,30
8,18,30
17,44,30
328,380,27
99,209,27
488,593,27
328,377,26
99,211,26
269,377,26
125,235,24
211,240,23
210,240,23
412,509,22
44,179,21
255,394,20
179,302,20
269,399,20
259,394,20
412,511,20
593,613,19
214,231,18
302,441,18
476,489,18
18,29,18
440,592,17
259,375,17
431,476,17
255,395,16
577,592,15
375,406,14
343,406,14
431,445,14
491,511,13
439,491,13
441,509,13
462,489,12
391,397,12
302,394,12
391,395,12
462,492,12
18,26,11
1,26,11
441,568,11
303,442,11
493,509,11
180,303,10
111,214,10
610,612,10
179,209,10
439,510,10
568,611,10
343,374,9
594,610,9
611,612,9
44,53,9
226,236,8
181,224,8
140,224,8
327,397,8
43,180,7
111,233,7
166,236,7
594,613,7
579,599,7
303,394,7
444,445,7
442,599,7
9,29,6
212,229,6
442,509,6
466,492,6
82,209,6
182,235,5
330,377,5
443,444,5
330,374,5
180,209,5
343,348,5
396,398,5
433,512,5
32,53,4
457,510,4
323,396,4
433,466,4
421,490,4
445,510,4
378,410,4
334,410,4
160,231,4
91,166,4
28,29,4
366,396,4
324,396,4
433,511,4
27,43,4
252,303,4
31,32,3
348,374,3
594,604,3
312,399,3
474,489,3
601,604,3
419,512,3
250,394,3
459,492,3
6,27,3
1,6,3
79,140,3
249,394,3
82,230,3
305,399,3
348,360,3
78,212,3
489,504,3
88,231,3
89,231,3
286,399,3
53,68,3
163,210,3
348,353,3
295,377,3
490,517,3
429,510,3
184,235,3
98,210,3
262,396,3
264,395,3
317,396,3
430,466,3
248,394,3
108,125,3
251,327,3
158,231,3
106,125,3
421,509,3
267,396,3
53,58,3
261,396,3
76,209,3
509,516,3
394,405,3
269,290,3
81,209,3
260,396,3
209,228,3
499,517,3
83,84,3
334,380,3
154,214,3
36,53,3
227,235,3
153,159,3
37,43,3
38,53,3
159,214,3
489,499,3
77,209,3
107,125,3
443,446,2
433,454,2
80,209,2
91,127,2
420,440,2
101,235,2
176,235,2
320,396,2
437,466,2
103,210,2
348,350,2
297,397,2
479,489,2
348,357,2
189,235,2
535,613,2
167,214,2
161,231,2
307,399,2
348,354,2
268,304,2
376,394,2
66,69,2
32,67,2
42,67,2
507,511,2
412,414,2
97,210,2
133,210,2
165,210,2
336,380,2
315,396,2
450,510,2
471,489,2
34,55,2
509,514,2
329,374,2
556,613,2
577,611,2
253,394,2
467,489,2
493,598,2
525,577,2
530,577,2
90,233,2
40,66,2
402,514,2
185,235,2
92,210,1
470,489,1
449,510,1
592,626,1
348,364,1
247,397,1
255,257,1
131,233,1
589,613,1
257,393,1
318,396,1
105,233,1
348,358,1
359,399,1
329,380,1
95,210,1
204,210,1
186,235,1
46,53,1
524,577,1
132,235,1
336,374,1
104,233,1
85,231,1
335,377,1
270,398,1
175,233,1
162,233,1
311,399,1
456,466,1
446,451,1
432,466,1
432,510,1
313,399,1
435,510,1
436,510,1
475,489,1
91,146,1
157,231,1
458,511,1
458,492,1
434,466,1
554,613,1
251,265,1
449,450,1
316,396,1
368,396,1
172,226,1
371,396,1
443,450,1
306,399,1
86,231,1
480,489,1
93,210,1
91,235,1
91,215,1
526,577,1
473,489,1
514,621,1
531,577,1
325,396,1
246,327,1
140,209,1
414,511,1
34,69,1
80,140,1
252,253,1
394,402,1
334,374,1
251,379,1
468,489,1
326,396,1
447,510,1
322,396,1
348,355,1
348,349,1
369,380,1
112,234,1
234,235,1
348,351,1
310,396,1
190,235,1
448,466,1
453,492,1
87,231,1
53,56,1
456,492,1
527,577,1
576,579,1
308,399,1
444,477,1
346,348,1
331,380,1
239,402,1
70,239,1
205,235,1
367,396,1
