Phase,AgentID,Starting Node,Starting Room Name,Current Node,Room Name,Path
0,0,510,ADMIN CORR.,31,CLASSROOM,"[510, 445, 431, 476, 489, 488, 373, 206, 55, 69, 53, 32, 31]"
0,1,598,STAIR 04,249,CLASSROOM,"[598, 493, 509, 440, 304, 394, 249]"
0,2,210,ADMIN CORR.,290,HUDDLE,"[210, 206, 373, 348, 404, 380, 328, 377, 269, 290]"
0,3,40,STUDENT SEATING,260,RESEARCH,"[40, 66, 69, 53, 42, 181, 304, 394, 396, 260]"
0,4,28,STUDENT COLLABORATION,419,SKILLS LAB STORAGE,"[28, 29, 18, 8, 17, 44, 179, 302, 441, 509, 433, 512, 419]"
0,5,229,PUBLIC CORR.,99,CLASSROOM,"[229, 84, 209, 99]"
0,6,399,ADMIN CORR.,375,COLLAB,"[399, 269, 377, 330, 374, 343, 406, 375]"
0,7,394,EAST ATRIUM,107,RESEARCH,"[394, 304, 181, 209, 84, 229, 226, 125, 107]"
0,8,29,PREFUNCTION,99,CLASSROOM,"[29, 18, 8, 17, 44, 179, 209, 99]"
0,9,612,PUBLIC CORR.,419,SKILLS LAB STORAGE,"[612, 610, 594, 613, 593, 488, 489, 433, 512, 419]"
0,10,18,CORRIDOR,261,RESEARCH,"[18, 8, 17, 44, 179, 302, 394, 396, 261]"
0,11,53,EAST ATRIUM,31,CLASSROOM,"[53, 32, 31]"
0,12,378,PUBLIC (ENTRY),78,DIAGNOSTIC CLASS LAB,"[378, 410, 334, 380, 404, 348, 373, 206, 210, 240, 211, 99, 209, 84, 229, 212, 78]"
0,13,394,EAST ATRIUM,260,RESEARCH,"[394, 396, 260]"
0,14,9,BUILDING LOBBY,107,RESEARCH,"[9, 29, 18, 8, 17, 44, 179, 209, 84, 229, 226, 125, 107]"
0,15,509,EAST ATRIUM,125,RESEARCH,"[509, 440, 304, 181, 209, 84, 229, 226, 125]"
0,16,394,EAST ATRIUM,83,CLASSROOM (30),"[394, 304, 181, 209, 84, 83]"
0,17,35,AUDITORIUM,375,COLLAB,"[35, 53, 42, 181, 304, 394, 259, 375]"
0,18,35,AUDITORIUM,250,ADL CLASS LAB,"[35, 53, 42, 181, 304, 394, 250]"
0,19,577,EXAM SUITE CORRIDOR,264,PEDIATRIC CLASS LAB,"[577, 592, 440, 304, 394, 255, 395, 264]"
0,20,53,EAST ATRIUM,375,COLLAB,"[53, 42, 181, 304, 394, 259, 375]"
0,21,618,ADMIN CORRIDOR,253,CLASSROOM,"[618, 615, 620, 613, 593, 488, 489, 433, 509, 440, 304, 253]"
0,22,53,EAST ATRIUM,1,AUDITORIUM,"[53, 44, 17, 8, 18, 26, 1]"
0,23,610,WEST ATRIUM,227,COLLAB,"[610, 612, 611, 568, 441, 302, 179, 209, 84, 229, 226, 125, 235, 227]"
0,24,1,AUDITORIUM,58,CLASSROOM STORAGE,"[1, 26, 18, 8, 17, 44, 53, 58]"
0,25,612,PUBLIC CORR.,405,COLLAB,"[612, 611, 568, 441, 302, 394, 405]"
0,26,27,STAIR,290,HUDDLE,"[27, 43, 180, 303, 442, 509, 433, 489, 488, 373, 348, 404, 380, 328, 377, 269, 290]"
0,27,577,EXAM SUITE CORRIDOR,32,CLASSROOM,"[577, 592, 440, 304, 181, 42, 67, 32]"
0,28,394,EAST ATRIUM,429,HUDDLE,"[394, 304, 440, 509, 412, 511, 491, 439, 510, 429]"
0,29,394,EAST ATRIUM,80,CLASSROOM,"[394, 304, 181, 224, 140, 80]"
0,30,53,EAST ATRIUM,81,COMPUTER CLASSROOM,"[53, 42, 181, 209, 81]"
0,31,1,AUDITORIUM,466,OPEN HUDDLE,"[1, 26, 18, 8, 17, 44, 179, 302, 441, 509, 433, 466]"
0,32,69,PUBLIC CORR.,267,RESEARCH,"[69, 53, 42, 181, 304, 394, 396, 267]"
0,33,393,WEST ATRIUM,414,MAKERSPACE MEDIA LAB,"[393, 257, 255, 394, 304, 440, 509, 412, 414]"
0,34,53,EAST ATRIUM,108,RESEARCH,"[53, 42, 181, 209, 84, 229, 226, 125, 108]"
0,35,509,EAST ATRIUM,490,COLLAB,"[509, 421, 490]"
0,36,69,PUBLIC CORR.,227,COLLAB,"[69, 53, 42, 181, 209, 84, 229, 226, 125, 235, 227]"
0,37,209,EAST ATRIUM,154,HUDDLE,"[209, 99, 211, 240, 210, 231, 214, 154]"
0,38,1,AUDITORIUM,58,CLASSROOM STORAGE,"[1, 26, 18, 8, 17, 44, 53, 58]"
0,39,29,PREFUNCTION,211,COLLAB,"[29, 18, 8, 17, 44, 179, 209, 99, 211]"
0,40,394,EAST ATRIUM,212,DIAGNOSTIC CLASS LAB STORAGE,"[394, 304, 181, 209, 84, 229, 212]"
0,41,42,STAIR,466,OPEN HUDDLE,"[42, 181, 304, 440, 509, 433, 466]"
0,42,593,STAIR 03,125,RESEARCH,"[593, 488, 489, 433, 509, 440, 304, 181, 209, 84, 229, 226, 125]"
0,43,53,EAST ATRIUM,260,RESEARCH,"[53, 42, 181, 304, 394, 396, 260]"
0,44,394,EAST ATRIUM,227,COLLAB,"[394, 304, 181, 209, 84, 229, 226, 125, 235, 227]"
0,45,395,PUBLIC CORR.,106,RESEARCH,"[395, 255, 394, 304, 181, 209, 84, 229, 226, 125, 106]"
0,46,394,EAST ATRIUM,125,RESEARCH,"[394, 304, 181, 209, 84, 229, 226, 125]"
0,47,209,EAST ATRIUM,228,COLLAB,"[209, 228]"
0,48,440,STAIR 01,153,HUDDLE,"[440, 509, 433, 489, 488, 373, 206, 210, 231, 214, 159, 153]"
0,49,53,EAST ATRIUM,248,CLASSROOM,"[53, 42, 181, 304, 394, 248]"
0,50,594,PUBLIC CORR.,211,COLLAB,"[594, 613, 593, 488, 373, 206, 210, 240, 211]"
0,51,509,EAST ATRIUM,262,RESEARCH,"[509, 440, 304, 394, 396, 262]"
0,52,233,ADMIN CORR.,99,CLASSROOM,"[233, 111, 214, 231, 210, 240, 211, 99]"
0,53,394,EAST ATRIUM,430,HUDDLE,"[394, 304, 440, 509, 433, 466, 430]"
0,54,601,PATIENT UNIT CORRIDOR,107,RESEARCH,"[601, 604, 594, 610, 612, 611, 568, 441, 302, 179, 209, 84, 229, 226, 125, 107]"
