vi,vj,Count
181,304,282
181,209,251
304,440,234
304,394,224
42,181,206
440,509,203
84,209,191
42,53,181
84,229,167
226,229,120
433,509,115
488,489,114
206,373,111
125,226,100
53,69,97
206,210,96
433,489,95
373,488,91
17,44,87
394,396,84
8,18,84
8,17,84
35,53,79
55,206,78
99,209,76
44,179,75
55,69,73
179,302,68
210,231,66
99,211,66
255,394,62
302,441,59
348,373,50
179,209,49
211,240,46
210,240,46
488,593,46
18,29,45
214,231,44
568,611,43
441,568,43
212,229,42
412,509,40
255,395,40
440,592,40
593,613,37
431,476,37
476,489,37
1,26,36
302,394,36
18,26,36
180,303,34
259,394,32
611,612,32
412,511,31
421,509,31
125,235,29
82,209,28
577,592,27
303,442,27
348,404,26
380,404,26
491,511,25
44,53,25
439,491,25
433,512,25
441,509,24
259,375,24
269,377,24
421,490,24
43,180,23
269,290,23
261,396,23
154,214,23
328,377,22
260,396,22
264,395,22
328,380,22
250,394,22
180,209,22
394,405,22
76,209,21
108,125,21
78,212,21
442,509,21
226,236,20
140,224,20
493,509,20
227,235,20
181,224,20
166,236,19
343,406,19
262,396,19
9,29,19
375,406,19
81,209,19
32,67,18
31,32,18
249,394,18
42,67,18
433,466,18
53,58,18
610,612,18
209,228,18
419,512,17
442,599,17
106,125,17
594,613,17
430,466,16
38,53,16
439,510,16
159,214,16
153,159,16
248,394,15
34,69,15
267,396,15
445,510,15
431,445,15
594,610,15
252,303,14
107,125,14
77,209,14
429,510,13
36,53,13
158,231,13
579,599,13
253,304,13
27,43,13
462,492,12
509,516,12
462,489,12
490,517,12
499,517,12
489,499,12
28,29,12
32,53,12
343,348,12
466,492,12
615,620,11
615,618,11
613,620,11
37,43,11
80,140,10
412,414,10
83,84,9
303,394,9
391,395,9
376,394,9
79,209,8
82,230,7
343,374,7
348,374,7
391,397,7
79,140,7
255,257,6
80,209,6
257,393,6
1,6,6
6,27,6
268,304,6
433,511,5
268,394,5
592,626,5
420,440,5
34,55,5
601,604,5
330,377,5
611,626,5
330,374,5
594,604,5
111,233,5
493,598,5
111,214,5
334,410,4
53,68,4
66,69,4
40,66,4
253,394,4
252,304,4
378,410,4
334,380,4
46,53,3
140,209,3
91,215,3
91,166,3
1,29,3
11,29,2
250,255,2
511,512,2
579,611,2
267,391,2
229,230,2
594,600,2
514,621,2
396,398,2
414,511,2
43,53,2
509,514,2
466,511,2
252,394,2
234,235,2
209,239,2
261,267,1
0,29,1
70,239,1
37,53,1
412,516,1
53,56,1
10,70,1
420,509,1
52,58,1
45,53,1
327,397,1
251,327,1
251,379,1
52,56,1
35,56,1
269,399,1
239,402,1
402,514,1
53,57,1
