Node,Occupancy,Room Name
0,0,VESTIBULE
9,0,BUILDING LOBBY
28,0,STUDENT COLLABORATION
1,18,AUDITORIUM
11,0,VESTIBULE
12,0,VESTIBULE
29,0,PREFUNCTION
2,0,JAN
18,0,CORRIDOR
23,0,FURN STOR
3,0,TOILET
13,0,SHOWER
4,0,TOILET
5,0,SHOWER
6,0,MECHANICAL
7,0,SERVICE AREAWAY
10,0,ELEVATOR
14,0,MAIN ELECTRICAL
15,0,EMERG ELEC
17,0,ELEVATOR
19,0,ATTIC STOCK
20,0,MDF
21,0,MAINT STAFF OFFICE
22,0,MAINTENANCE SHOP
24,0,EQUIPMENT
25,0,HK STORAGE
27,0,STAIR
30,0,HK WORKROOM
16,0,MAIN FIRE PUMP
8,0,MACH RM
26,0,STAIR
31,18,CLASSROOM
32,12,CLASSROOM
61,0,AV CLO.
71,0,LOADING DOCK
73,0,CL STO.
53,0,EAST ATRIUM
60,0,AV CLO.
67,0,CLO.
34,20,CLASSROOM
55,0,STAIR
69,0,PUBLIC CORR.
35,9,AUDITORIUM
50,0,DATA
56,0,VESTIBULE
57,0,VESTIBULE
36,13,CLASSROOM
38,16,CLASSROOM
59,0,AV CLO.
72,0,CLO.
37,12,CLASSROOM
43,0,STAIR
39,0,RECEIVING/LOADING
63,0,RECYCLING
64,0,WASTE STOR
40,0,STUDENT SEATING
41,0,CAFE STOR
62,0,CAFE SERVERY
42,0,STAIR
44,0,ELEVATOR
70,0,ELEVATOR
45,0,VESTIBULE
46,0,VESTIBULE
47,0,TOILET
49,0,ELECT
51,0,JAN
74,0,MAINT CLOSET
52,0,AV SUPPORT
58,19,CLASSROOM STORAGE
68,0,STAIR 04
54,0,WEST STEPS
65,0,TOILET
66,0,DF / TRASH+RE
75,0,OFFICE
104,0,OFFICE
109,0,OFFICE
126,0,OFFICE
150,0,CHAIR OFFICE
162,0,OFFICE
175,0,OFFICE
196,0,OFFICE
233,0,ADMIN CORR.
76,21,CLASSROOM
77,14,CLASSROOM
209,0,EAST ATRIUM
220,0,AV CLO.
221,0,AV CLO.
228,18,COLLAB
78,21,DIAGNOSTIC CLASS LAB
212,21,DIAGNOSTIC CLASS LAB STORAGE
79,15,CLASSROOM
80,16,CLASSROOM
140,0,SEMINAR
217,0,AV CLO.
241,0,CL. STO.
219,0,AV CLO.
81,19,COMPUTER CLASSROOM
82,21,COMPUTER CLASSROOM
230,0,WEST ATRIUM
83,9,CLASSROOM (30)
84,15,CLASSROOM (30)
222,0,AV CLO.
223,0,AV CLO.
229,0,PUBLIC CORR.
85,0,OFFICE
86,0,OFFICE
87,0,OFFICE
88,0,OFFICE
89,0,OFFICE
157,0,OFFICE
158,13,COLLAB
160,0,OFFICE
161,0,OFFICE
214,0,ADMIN ENTRY
231,0,PUBLIC CORR.
237,0,STORAGE
90,0,STAFF OFFICE
91,0,STAFF OFFICE
127,0,STAFF OFFICE
145,0,STAFF OFFICE
146,0,STAFF OFFICE
166,16,HUDDLE
174,0,STAFF OFFICE
215,0,ADMIN CORR.
235,0,ADMIN CORR.
92,0,OFFICE
93,0,OFFICE
95,0,OFFICE
210,0,ADMIN CORR.
94,0,OFFICE
96,0,OFFICE
97,0,OFFICE
98,0,OFFICE
110,0,OFFICE
163,0,OFFICE
164,0,OFFICE
99,24,CLASSROOM
211,24,COLLAB
100,0,OFFICE
101,0,OFFICE
102,0,OFFICE
132,0,OFFICE
176,0,OFFICE
205,0,OFFICE
234,0,ADMIN CORR.
103,0,OFFICE
133,0,OFFICE
204,0,OFFICE
105,0,OFFICE
106,17,RESEARCH
107,14,RESEARCH
108,21,RESEARCH
125,19,RESEARCH
242,0,CLO.
111,0,CONF(24)
112,0,CONF(8)
171,0,STAFF OFFICE
172,0,STAFF OFFICE
226,0,MEDITATION
236,0,ADMIN CORR.
243,0,ELECT
131,0,CONF(8)
134,0,TOILET
136,0,TOILET
225,0,JAN
135,0,TOILET
137,0,ELECT
138,0,DATA
139,0,TOILET
216,0,WORKRM/STOR
224,0,A/V CLOSET
141,0,WS
142,0,WS
143,0,WS
147,0,CONF(12)
240,0,CLO.
244,0,CAREER CENTER
153,16,HUDDLE
159,0,WORKROOM/STORAGE
154,23,HUDDLE
165,0,CHAIR OFFICE
195,0,STAFF OFFICE
167,0,STAFF OFFICE
168,0,TOILET
169,0,STAFF OFFICE
170,0,STAFF OFFICE
179,0,ELEVATOR
239,0,ELEVATOR
180,0,STAIR 02
181,0,STAIR 01
182,0,OFFICE
183,0,OFFICE
184,0,OFFICE
185,0,OFFICE
186,0,OFFICE
187,0,OFFICE
188,0,OFFICE
189,0,OFFICE
190,0,OFFICE
191,0,OFFICE
192,0,OFFICE
193,0,OFFICE
194,0,OFFICE
199,0,CONF(8)
202,0,CLO.
206,0,STAIR 03
207,0,NICHE
213,0,ADMIN ENTRY
227,20,COLLAB
232,0,ELECT
238,0,DATA
246,0,STAFF OFFICE
251,0,STAFF OFFICE
265,0,STAFF OFFICE
310,0,STAFF OFFICE
327,0,STAFF OFFICE
379,0,ADMIN CORR.
396,0,ADMIN CORR.
247,0,STAFF OFFICE
296,0,TOILET
297,0,STAFF OFFICE
397,0,ADMIN CORR.
248,15,CLASSROOM
249,18,CLASSROOM
390,0,AV CLO.
394,0,EAST ATRIUM
405,22,COLLAB
407,0,AV CLO
250,24,ADL CLASS LAB
254,0,ADL STORAGE
255,20,ANATOMY CLASS LAB
257,0,ANATOMY / SPEECH STORAGE
252,18,CLASSROOM
253,17,CLASSROOM
268,0,SEMINAR
303,0,STAIR
304,0,STAIR
388,0,AV CLO.
387,0,AV CLO.
408,0,AV CLO.
393,0,WEST ATRIUM
258,0,ANATOMAGE
395,0,PUBLIC CORR.
256,0,ASSESSMENT LIBRARY
391,0,WELLNESS
259,18,CLASSROOM
375,17,COLLAB
260,22,RESEARCH
261,24,RESEARCH
262,19,RESEARCH
267,14,RESEARCH
263,0,PEDIATRIC STORAGE
264,22,PEDIATRIC CLASS LAB
266,0,RESOURCE CENTER
298,0,STAFF OFFICE
299,0,STAFF OFFICE
411,0,ELECT
269,0,CONF(24)
290,23,HUDDLE
295,0,STAFF OFFICE
377,0,"ADMIN CORR,"
399,0,ADMIN CORR.
270,0,CONF(8)
398,0,ADMIN CORR.
286,0,CONF(8)
287,0,WS
288,0,WS
289,0,WS
294,0,WORKROOM / STORAGE
302,0,ELEVATOR
402,0,ELEVATOR
305,0,OFFICE
306,0,OFFICE
308,0,OFFICE
309,0,OFFICE
311,0,OFFICE
312,0,OFFICE
313,0,OFFICE
359,0,CHAIR OFFICE
307,0,OFFICE
314,0,OFFICE
315,0,OFFICE
316,0,OFFICE
317,0,OFFICE
318,0,OFFICE
319,0,OFFICE
320,0,OFFICE
321,0,OFFICE
322,0,OFFICE
323,0,OFFICE
324,0,OFFICE
325,0,OFFICE
326,0,OFFICE
328,0,OFFICE
329,0,OFFICE
330,0,OFFICE
331,0,OFFICE
332,0,OFFICE
334,0,OFFICE
336,0,OFFICE
369,0,OFFICE
374,0,PUBLIC CORR.
380,0,ADMIN ENTRY
410,0,STORAGE
333,0,STAFF OFFICE
335,0,STAFF OFFICE
337,0,JAN
338,0,TOILET
339,0,TOILET
372,0,VENDING / TRASH+RECYCLING
340,0,TOILET
386,0,WORKRM/STOR
341,0,ELECT
342,0,TOILET
348,0,ADMIN CORR.
343,0,CONF(12)
406,0,CLO.
346,0,CONF(8)
349,0,OFFICE
350,0,OFFICE
351,0,OFFICE
352,0,OFFICE
353,0,OFFICE
354,0,OFFICE
355,0,OFFICE
356,0,OFFICE
357,0,OFFICE
358,0,OFFICE
360,0,OFFICE
361,0,OFFICE
362,0,CHAIR OFFICE
364,0,OFFICE
373,0,STAIR 03
404,0,CLO.
365,0,OFFICE
366,0,OFFICE
367,0,OFFICE
368,0,OFFICE
370,0,OFFICE
371,0,OFFICE
381,0,DATA
378,0,PUBLIC (ENTRY)
392,0,ELECT
401,0,DATA
412,0,FOUNDATION SKILLS
414,12,MAKERSPACE MEDIA LAB
415,0,MAKERSPACE SHOP
509,0,EAST ATRIUM
511,0,PUBLIC CORR.
515,0,EQUIP.
516,13,COLLAB
413,0,HEALTH ASSESSMENT
416,0,FOUNDATION SKILLS
417,0,HEALTH ASSESSMENT
418,0,MAKER SPACE STORAGE
419,17,SKILLS LAB STORAGE
512,0,WEST ATRIUM
420,0,SEMINAR
440,0,STAIR 01
421,23,CLASSROOM
490,20,COLLAB
425,0,CONF(8)
510,0,ADMIN CORR.
426,0,WS
427,0,WS
428,0,WS
429,13,HUDDLE
435,0,STAFF OFFICE
436,0,STAFF OFFICE
457,0,STAFF OFFICE
430,16,HUDDLE
432,0,WORKROOM / STORAGE
434,0,STAFF OFFICE
