vi,vj,Count
304,440,70
181,304,64
440,509,62
433,509,55
17,44,53
304,394,45
488,489,45
433,489,45
302,441,43
53,69,40
42,181,39
206,373,39
441,568,39
568,611,39
373,488,39
44,179,38
179,302,38
8,17,37
8,18,35
181,209,35
42,53,34
488,593,33
593,613,33
55,206,33
440,592,32
55,69,32
611,612,23
348,373,22
610,612,22
44,53,21
255,394,21
18,29,20
594,610,20
441,509,20
255,395,19
179,209,18
35,53,17
206,210,17
6,17,16
84,229,15
84,209,15
412,509,15
594,613,15
549,611,14
613,620,13
302,394,13
303,442,12
442,599,12
579,599,12
577,592,11
210,231,10
615,618,10
615,620,10
180,303,10
348,374,10
28,29,9
391,395,9
36,53,9
585,594,8
226,229,8
493,509,8
592,622,8
348,404,8
214,231,7
99,209,7
442,509,7
567,585,7
99,211,7
39,53,7
211,240,7
594,604,7
394,396,6
412,511,6
594,607,6
476,489,6
431,476,6
380,404,5
433,464,5
209,223,5
210,240,5
180,209,5
617,618,5
36,59,5
562,567,5
601,604,5
253,304,5
9,29,5
125,226,5
6,20,5
31,32,5
42,67,4
591,625,4
591,594,4
616,618,4
569,601,4
181,224,4
36,72,4
433,492,4
462,492,4
1,26,4
18,26,4
69,74,4
413,509,4
592,626,4
441,501,4
391,397,4
431,513,4
6,15,4
125,242,4
253,408,4
43,180,4
521,592,4
251,327,3
259,394,3
253,387,3
251,379,3
569,570,3
111,233,3
111,214,3
343,406,3
375,406,3
259,375,3
577,611,3
80,219,3
544,579,3
461,519,3
560,613,3
32,53,3
433,461,3
31,73,3
577,606,3
229,232,3
39,71,3
579,622,3
412,515,3
3,18,3
388,394,3
579,611,3
328,377,3
533,549,3
433,506,3
327,397,3
341,374,3
577,614,3
543,579,3
465,500,3
566,579,3
140,224,3
433,465,3
137,231,3
521,602,3
417,509,3
328,380,3
202,214,3
547,622,3
3,13,3
549,623,3
565,622,3
210,216,2
337,339,2
343,348,2
248,390,2
248,394,2
571,604,2
553,613,2
6,19,2
594,603,2
348,386,2
396,398,2
6,14,2
147,244,2
532,549,2
147,210,2
462,489,2
253,394,2
53,68,2
339,374,2
32,67,2
53,60,2
548,567,2
392,395,2
53,56,2
536,614,2
269,377,2
269,399,2
540,549,2
622,626,2
52,56,2
572,626,2
597,620,2
511,520,2
2,18,2
511,515,2
372,374,2
551,622,2
491,511,2
35,50,2
6,24,2
445,510,2
4,5,2
586,594,2
80,209,2
528,577,2
4,18,2
431,445,2
439,510,1
594,608,1
550,610,1
572,622,1
268,394,1
544,592,1
594,600,1
66,69,1
594,597,1
439,491,1
376,394,1
268,304,1
7,16,1
6,7,1
53,67,1
43,53,1
31,61,1
207,210,1
545,579,1
534,626,1
402,514,1
391,411,1
252,388,1
252,303,1
499,517,1
489,499,1
256,395,1
226,243,1
39,63,1
395,401,1
222,223,1
416,509,1
546,579,1
27,43,1
611,626,1
11,29,1
514,621,1
266,379,1
374,380,1
80,140,1
394,407,1
343,374,1
433,512,1
512,520,1
521,577,1
521,626,1
374,381,1
544,622,1
125,235,1
412,415,1
54,69,1
76,209,1
76,221,1
31,71,1
82,209,1
82,230,1
543,592,1
574,577,1
303,394,1
51,69,1
138,231,1
268,408,1
255,258,1
239,402,1
70,239,1
229,238,1
10,70,1
537,549,1
8,10,1
602,605,1
605,626,1
433,511,1
2,23,1
255,257,1
257,393,1
564,579,1
