Step,AgentID,Starting Node,Current Node,Path,Agent Type
1,0,17,17,[17],Student
1,1,598,598,[598],Student
1,2,268,268,[268],Student
1,3,583,583,[583],Student
1,4,40,40,[40],Student
1,5,25,25,[25],Student
1,6,25,25,[25],Student
1,7,600,600,[600],Student
1,8,209,209,[209],Student
1,9,412,412,[412],Student
1,10,624,624,[624],Student
1,11,32,32,[32],Student
1,12,381,381,[381],Student
1,13,237,237,[237],Student
1,14,380,380,[380],Student
1,15,268,268,[268],Student
1,16,626,626,[626],Student
1,17,380,380,[380],Student
1,18,140,140,[140],Student
1,19,9,9,[9],Student
1,20,173,173,[173],Student
1,21,585,585,[585],Student
1,22,25,25,[25],Student
1,23,25,25,[25],Student
1,24,514,514,[514],Student
1,25,9,9,[9],Student
1,26,349,349,[349],Student
1,27,617,617,[617],Student
1,28,619,619,[619],Student
1,29,583,583,[583],Student
1,30,234,234,[234],Student
1,31,377,377,[377],Student
1,32,396,396,[396],Student
1,33,380,380,[380],Student
1,34,291,291,[291],Student
1,35,46,46,[46],Student
1,36,46,46,[46],Student
1,37,25,25,[25],Student
1,38,377,377,[377],Student
1,39,9,9,[9],Student
1,40,9,9,[9],Student
1,41,25,25,[25],Student
1,42,401,401,[401],Student
1,43,514,514,[514],Student
1,44,234,234,[234],Student
1,45,234,234,[234],Student
1,46,379,379,[379],Student
1,47,291,291,[291],Student
1,48,25,25,[25],Student
1,49,600,600,[600],Student
1,50,9,9,[9],Student
1,51,9,9,[9],Student
1,52,515,515,[515],Student
1,53,444,444,[444],Student
1,54,268,268,[268],Student
1,55,25,25,[25],Student
1,56,400,400,[400],Student
1,57,514,514,[514],Student
1,58,514,514,[514],Student
1,59,9,9,[9],Student
1,60,515,515,[515],Student
1,61,28,28,[28],Student
1,62,303,303,[303],Student
1,63,53,53,[53],Student
1,64,53,53,[53],Student
1,65,9,9,[9],Student
1,66,9,9,[9],Student
1,67,600,600,[600],Student
1,68,268,268,[268],Student
1,69,25,25,[25],Student
1,70,400,400,[400],Student
1,71,605,605,[605],Student
1,72,619,619,[619],Student
1,73,140,140,[140],Student
1,74,435,435,[435],Student
1,75,9,9,[9],Student
1,76,349,349,[349],Student
1,77,154,154,[154],Student
1,78,380,380,[380],Student
1,79,53,53,[53],Student
1,80,605,605,[605],Student
1,81,401,401,[401],Student
1,82,25,25,[25],Student
1,83,514,514,[514],Student
1,84,600,600,[600],Student
1,85,25,25,[25],Student
1,86,9,9,[9],Student
1,87,397,397,[397],Student
1,88,11,11,[11],Student
1,89,9,9,[9],Student
1,90,433,433,[433],Student
1,91,11,11,[11],Student
1,92,401,401,[401],Student
1,93,53,53,[53],Student
1,94,583,583,[583],Student
1,95,600,600,[600],Student
1,96,55,55,[55],Student
1,97,9,9,[9],Student
1,98,600,600,[600],Student
1,99,159,159,[159],Student
1,100,25,25,[25],Student
1,101,583,583,[583],Student
1,102,25,25,[25],Student
1,103,378,378,[378],Student
1,104,53,53,[53],Student
1,105,441,441,[441],Student
1,106,140,140,[140],Student
1,107,514,514,[514],Student
1,108,619,619,[619],Student
1,109,237,237,[237],Student
1,110,257,257,[257],Student
1,111,181,181,[181],Student
1,112,263,263,[263],Student
1,113,436,436,[436],Student
1,114,9,9,[9],Student
1,115,234,234,[234],Student
1,116,619,619,[619],Student
1,117,514,514,[514],Student
1,118,515,515,[515],Student
1,119,600,600,[600],Student
1,120,443,443,[443],Student
1,121,445,445,[445],Student
1,122,45,45,[45],Student
1,123,140,140,[140],Student
1,124,398,398,[398],Student
1,125,62,62,[62],Student
1,126,43,43,[43],Student
1,127,229,229,[229],Student
1,128,234,234,[234],Student
1,129,25,25,[25],Student
1,130,490,490,[490],Student
1,131,9,9,[9],Student
1,132,9,9,[9],Student
1,133,25,25,[25],Student
1,134,380,380,[380],Student
1,135,28,28,[28],Student
1,136,436,436,[436],Student
1,137,397,397,[397],Student
1,138,9,9,[9],Student
1,139,435,435,[435],Student
1,140,624,624,[624],Student
1,141,173,173,[173],Student
1,142,619,619,[619],Student
1,143,268,268,[268],Student
1,144,9,9,[9],Student
1,145,514,514,[514],Student
1,146,25,25,[25],Student
1,147,469,469,[469],Student
1,148,229,229,[229],Student
1,149,9,9,[9],Student
1,150,53,53,[53],Student
1,151,53,53,[53],Student
1,152,257,257,[257],Student
1,153,209,209,[209],Student
1,154,25,25,[25],Student
1,155,400,400,[400],Student
1,156,9,9,[9],Student
1,157,583,583,[583],Student
1,158,25,25,[25],Student
1,159,583,583,[583],Student
1,160,413,413,[413],Student
1,161,514,514,[514],Student
1,162,25,25,[25],Student
1,163,303,303,[303],Student
1,164,25,25,[25],Student
1,165,615,615,[615],Student
1,166,514,514,[514],Student
1,167,516,516,[516],Student
1,168,159,159,[159],Student
1,169,12,12,[12],Student
1,170,25,25,[25],Student
1,171,379,379,[379],Student
1,172,441,441,[441],Student
1,173,25,25,[25],Student
1,174,396,396,[396],Student
1,175,515,515,[515],Student
1,176,9,9,[9],Student
1,177,9,9,[9],Student
1,178,159,159,[159],Student
1,179,600,600,[600],Student
1,180,25,25,[25],Student
1,181,9,9,[9],Student
1,182,25,25,[25],Student
1,183,583,583,[583],Student
1,184,9,9,[9],Student
1,185,291,291,[291],Student
1,186,303,303,[303],Student
1,187,585,585,[585],Student
1,188,46,46,[46],Student
1,189,9,9,[9],Student
1,190,29,29,[29],Student
1,191,396,396,[396],Student
1,192,44,44,[44],Student
1,193,40,40,[40],Student
1,194,9,9,[9],Student
1,195,234,234,[234],Student
1,196,584,584,[584],Student
1,197,618,618,[618],Student
1,198,9,9,[9],Student
1,199,25,25,[25],Student
1,200,514,514,[514],Student
1,201,377,377,[377],Student
1,202,42,42,[42],Student
1,203,173,173,[173],Student
1,204,26,26,[26],Student
1,205,268,268,[268],Student
1,206,412,412,[412],Student
1,207,9,9,[9],Student
1,208,514,514,[514],Student
1,209,237,237,[237],Student
1,210,234,234,[234],Student
1,211,9,9,[9],Student
1,212,209,209,[209],Student
1,213,12,12,[12],Student
1,214,441,441,[441],Student
1,215,585,585,[585],Student
1,216,9,9,[9],Student
1,217,159,159,[159],Student
1,218,9,9,[9],Student
1,219,9,9,[9],Student
1,220,230,230,[230],Student
1,221,25,25,[25],Student
1,222,514,514,[514],Student
1,223,9,9,[9],Student
