Step,AgentID,Starting Node,Current Node,Path,Agent Type
1,0,31,17,"[31, 53, 44, 179, 302, 441, 501, 461, 501, 441, 302, 179, 44, 17]",Student
1,1,249,598,"[249, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 509, 493, 598]",Student
1,2,290,268,"[290, 294, 400, 346, 348, 373, 206, 55, 69, 41, 69, 53, 42, 181, 304, 268]",Student
1,3,260,583,"[260, 263, 391, 378, 410, 334, 380, 404, 348, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 583]",Student
1,4,419,40,"[419, 512, 433, 489, 488, 373, 206, 55, 69, 41, 40]",Student
1,5,99,25,"[99, 211, 240, 147, 138, 231, 139, 210, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,6,375,25,"[375, 406, 343, 374, 342, 348, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,7,107,600,"[107, 78, 232, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 594, 600]",Student
1,8,99,209,"[99, 211, 240, 147, 138, 231, 139, 231, 136, 225, 81, 209]",Student
1,9,419,412,"[419, 512, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 511, 412]",Student
1,10,261,624,"[261, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 620, 624]",Student
1,11,31,32,"[31, 53, 69, 41, 69, 53, 32]",Student
1,12,78,381,"[78, 232, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 348, 374, 381]",Student
1,13,260,237,"[260, 263, 391, 378, 410, 334, 380, 404, 348, 373, 206, 55, 69, 41, 69, 55, 206, 210, 201, 202, 214, 237]",Student
1,14,107,380,"[107, 125, 236, 168, 213, 237, 214, 202, 201, 210, 206, 373, 348, 404, 380]",Student
1,15,125,268,"[125, 236, 168, 213, 237, 214, 202, 201, 210, 206, 55, 69, 41, 69, 53, 42, 181, 304, 268]",Student
1,16,83,626,"[83, 82, 81, 225, 134, 225, 81, 209, 181, 304, 440, 592, 626]",Student
1,17,375,380,"[375, 406, 343, 374, 342, 374, 380]",Student
1,18,250,140,"[250, 254, 393, 378, 296, 378, 395, 394, 304, 181, 224, 140]",Student
1,19,264,9,"[264, 392, 256, 391, 378, 410, 334, 380, 404, 348, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,20,375,173,"[375, 406, 348, 373, 206, 55, 69, 41, 69, 55, 206, 210, 201, 202, 214, 178, 112, 234, 205, 173]",Student
1,21,253,585,"[253, 394, 302, 441, 501, 461, 501, 441, 568, 611, 594, 585]",Student
1,22,1,25,"[1, 26, 18, 4, 18, 26, 20, 25]",Student
1,23,227,25,"[227, 78, 172, 236, 168, 213, 229, 84, 209, 179, 44, 17, 26, 20, 25]",Student
1,24,58,514,"[58, 50, 49, 74, 69, 47, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514]",Student
1,25,405,9,"[405, 396, 267, 397, 296, 378, 395, 394, 302, 179, 44, 17, 26, 1, 29, 9]",Student
1,26,290,349,"[290, 269, 377, 410, 378, 296, 378, 410, 334, 380, 404, 348, 349]",Student
1,27,32,617,"[32, 53, 69, 41, 69, 55, 206, 373, 488, 593, 613, 620, 624, 617]",Student
1,28,429,619,"[429, 432, 513, 504, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 620, 619]",Student
1,29,80,583,"[80, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 583]",Student
1,30,81,234,"[81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 210, 201, 202, 214, 178, 112, 234]",Student
1,31,466,377,"[466, 492, 462, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 348, 404, 380, 328, 377]",Student
1,32,267,396,"[267, 397, 296, 397, 267, 396]",Student
1,33,414,380,"[414, 511, 433, 463, 489, 488, 373, 348, 404, 380]",Student
1,34,108,291,"[108, 78, 232, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 348, 404, 380, 328, 377, 301, 270, 398, 371, 291]",Student
1,35,490,46,"[490, 517, 489, 488, 373, 206, 55, 69, 41, 69, 53, 46]",Student
1,36,227,46,"[227, 78, 172, 236, 168, 213, 229, 84, 209, 181, 42, 53, 46]",Student
1,37,154,25,"[154, 214, 202, 201, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,38,58,377,"[58, 50, 49, 74, 69, 41, 69, 55, 206, 373, 348, 404, 380, 328, 377]",Student
1,39,211,9,"[211, 240, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,40,212,9,"[212, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
