Count,Node1,Node2
7,445,431
32,431,513
95,513,504
98,504,489
378,489,488
407,488,373
543,373,206
783,206,55
775,55,69
867,69,41
842,41,69
106,69,53
52,53,42
45,42,181
20,181,224
21,224,140
13,439,510
17,510,432
59,432,513
38,260,299
52,299,397
106,397,296
167,296,378
124,378,410
120,410,334
118,334,380
128,380,404
131,404,348
18,348,349
3,39,64
4,64,43
14,43,180
15,180,303
21,303,442
21,442,599
21,599,579
42,579,594
28,594,584
24,584,594
25,594,611
3,611,626
5,626,592
18,592,440
19,440,304
40,304,181
44,181,42
18,79,209
49,209,81
193,81,225
154,225,136
154,136,231
180,231,210
405,210,206
765,69,55
756,55,206
766,206,373
195,373,348
134,348,404
132,404,380
43,380,328
43,328,377
24,377,301
24,301,270
26,270,398
19,405,396
37,396,267
54,267,397
81,378,395
81,395,394
178,394,302
277,302,179
287,179,44
270,44,17
265,17,26
191,26,20
191,20,25
26,421,490
49,490,517
16,517,499
16,499,433
79,433,463
77,463,433
456,433,461
547,461,501
273,501,441
252,441,302
34,179,209
16,290,294
26,294,400
24,400,346
25,346,348
220,348,373
655,373,488
493,488,489
423,489,433
274,501,514
242,514,402
243,402,239
246,239,70
239,70,10
232,10,8
233,8,18
237,18,29
265,29,9
19,80,209
197,488,593
38,593,583
23,34,69
34,517,489
12,261,260
65,26,1
50,1,29
2,286,301
6,270,379
6,379,266
7,266,296
146,206,210
113,210,201
113,201,202
113,202,214
53,214,178
54,178,112
51,112,234
17,234,205
17,205,173
10,106,78
51,78,232
53,232,229
63,229,83
75,83,82
122,82,81
159,593,613
83,613,620
1,620,615
15,32,53
45,53,44
67,44,179
94,179,302
221,302,441
252,441,501
270,501,461
2,209,235
4,235,173
2,90,111
5,111,214
32,214,231
73,231,139
68,139,210
19,153,154
45,154,214
1,470,489
39,620,624
20,624,617
1,5,4
26,4,18
15,18,26
20,26,17
23,17,44
14,250,394
182,461,433
215,433,489
39,489,504
39,504,513
22,513,432
21,432,429
8,429,436
14,252,394
24,228,235
33,235,125
92,125,236
117,236,168
160,168,213
79,213,229
77,229,84
77,84,209
44,209,181
56,181,304
19,304,440
13,440,592
8,592,626
5,626,605
8,253,304
41,42,53
77,53,69
28,466,433
44,463,489
10,624,618
71,209,179
3,614,577
7,577,611
44,611,568
44,568,441
6,37,53
13,489,517
16,517,490
15,249,394
23,304,268
19,430,432
41,489,463
3,549,611
22,302,394
10,394,396
2,396,291
17,394,304
18,84,82
3,547,579
39,594,613
64,613,593
64,593,488
12,255,394
19,38,53
6,77,209
15,256,391
41,391,378
22,262,260
2,540,533
5,533,611
15,250,254
13,254,393
13,393,378
70,378,296
21,419,512
24,512,433
47,620,619
2,167,214
118,214,202
121,202,201
121,201,210
17,214,233
21,53,45
1,66,69
3,565,579
21,260,263
21,263,391
15,253,394
10,394,268
41,375,406
23,406,348
16,433,509
6,509,516
24,58,50
38,50,49
38,49,74
42,74,69
20,398,371
20,371,291
13,108,78
7,1,12
6,69,74
6,74,49
6,49,50
3,50,58
3,58,52
3,52,56
71,613,594
17,594,585
55,380,334
56,334,410
80,410,378
22,296,397
10,397,267
10,267,396
19,166,170
20,170,168
93,213,237
81,237,214
11,112,215
1,215,91
1,446,443
3,443,444
4,444,445
16,36,53
13,613,584
16,212,226
19,226,213
31,213,168
16,516,509
9,509,441
29,214,237
15,594,579
10,579,599
10,599,442
10,442,303
3,317,396
13,429,435
22,31,53
1,53,32
54,211,240
30,240,147
32,147,138
33,138,231
13,107,125
1,322,396
3,182,235
22,348,346
22,346,400
9,400,294
6,294,399
2,160,237
14,237,213
2,334,374
2,374,343
2,343,406
9,406,375
41,594,600
3,560,613
15,41,40
2,89,214
24,78,172
25,172,236
14,264,263
14,263,299
20,433,511
18,511,515
2,450,510
1,534,611
9,433,466
7,466,448
2,448,436
2,244,147
18,29,28
1,369,410
2,14,6
3,6,17
1,23,2
2,2,18
12,18,8
14,8,10
14,10,70
14,70,239
20,239,402
25,402,514
14,514,501
33,69,47
33,47,69
5,209,180
8,180,43
7,43,27
24,76,209
17,214,159
28,240,210
10,290,269
13,269,377
22,377,410
15,348,245
3,625,591
6,591,594
5,611,621
5,621,514
11,108,125
2,548,567
7,567,585
8,585,594
10,212,229
2,551,622
3,622,626
4,626,611
8,1,11
16,414,511
25,511,433
14,209,140
3,394,303
6,303,180
2,60,53
2,88,237
15,139,231
1,231,138
1,138,147
12,35,50
21,259,375
2,320,396
31,210,231
5,464,433
9,209,239
10,584,613
1,331,410
11,264,392
14,392,256
11,439,438
12,438,466
4,412,511
22,489,469
6,231,214
4,297,296
3,181,209
3,353,348
10,348,342
35,342,348
30,231,136
30,136,225
53,225,81
1,81,230
3,602,521
3,521,592
9,490,421
7,81,82
7,82,83
7,83,229
3,607,594
45,81,209
39,225,134
16,134,231
1,491,438
6,509,413
1,85,214
15,261,394
2,165,240
1,349,348
12,405,394
11,255,395
15,395,378
4,410,377
2,594,610
5,448,435
15,509,433
2,467,489
23,227,78
20,406,343
22,343,374
30,374,342
1,459,433
10,378,391
7,391,256
7,256,392
7,392,401
18,248,394
3,371,398
9,398,270
6,270,301
6,301,377
7,377,328
7,328,380
3,570,569
4,569,594
20,429,432
21,1,26
12,624,620
13,620,613
3,520,512
7,252,303
4,168,170
4,170,166
2,357,348
7,348,406
20,441,568
20,568,611
5,611,579
8,378,393
5,393,257
8,69,62
8,62,40
3,474,489
16,158,231
4,616,617
9,617,624
1,368,370
1,370,300
1,300,359
1,359,399
8,399,294
15,513,431
15,431,445
11,445,444
10,444,443
4,388,394
6,205,234
9,234,112
6,215,146
6,146,169
6,169,168
11,579,545
3,417,509
11,77,228
1,589,613
1,613,583
4,543,579
1,436,429
5,511,412
27,99,211
9,509,493
9,493,598
1,54,69
2,525,577
10,577,592
8,53,43
8,228,209
2,471,489
1,294,290
15,44,53
1,89,237
1,526,577
5,59,53
3,312,399
1,29,0
10,304,394
2,394,250
3,391,263
3,341,374
3,606,577
2,459,492
14,492,462
18,462,489
3,295,377
3,387,253
3,305,399
16,53,46
1,265,266
1,266,378
2,377,294
3,572,626
6,249,405
4,296,266
9,266,379
4,379,270
6,440,509
3,509,416
3,416,511
3,607,591
1,161,231
5,107,78
7,348,374
6,374,381
1,216,135
1,135,216
2,216,210
10,106,125
6,247,296
2,603,594
1,337,338
1,338,374
6,374,348
1,574,577
1,412,509
9,611,569
9,569,571
9,571,600
3,73,53
12,209,84
12,84,229
8,229,213
24,26,18
25,18,4
2,571,604
2,604,594
1,456,433
1,594,597
4,597,620
2,550,610
2,610,594
