Edge,Count,Most Common Agent Type
"(69, 41)",867,Student
"(41, 69)",842,Student
"(206, 55)",783,Student
"(55, 69)",775,Student
"(206, 373)",766,Student
"(69, 55)",765,Student
"(55, 206)",756,Student
"(373, 488)",655,Student
"(461, 501)",547,Student
"(373, 206)",543,Student
"(488, 489)",493,Student
"(433, 461)",456,Student
"(489, 433)",423,Student
"(488, 373)",407,Student
"(210, 206)",405,Student
"(489, 488)",378,Student
"(179, 44)",287,Student
"(302, 179)",277,Student
"(501, 514)",274,Student
"(501, 441)",273,Student
"(44, 17)",270,Student
"(501, 461)",270,Student
"(29, 9)",265,Student
"(17, 26)",265,Student
"(441, 302)",252,Student
"(441, 501)",252,Student
"(239, 70)",246,Student
"(402, 239)",243,Student
"(514, 402)",242,Student
"(70, 10)",239,Student
"(18, 29)",237,Student
"(8, 18)",233,Student
"(10, 8)",232,Student
"(302, 441)",221,Student
"(348, 373)",220,Student
"(433, 489)",215,Student
"(488, 593)",197,Student
"(373, 348)",195,Student
"(81, 225)",193,Student
"(20, 25)",191,Student
"(26, 20)",191,Student
"(461, 433)",182,Student
"(231, 210)",180,Student
"(394, 302)",178,Student
"(296, 378)",167,Student
"(168, 213)",160,Student
"(593, 613)",159,Student
"(225, 136)",154,Student
"(136, 231)",154,Student
"(206, 210)",146,Student
"(348, 404)",134,Student
"(404, 380)",132,Student
"(404, 348)",131,Student
"(380, 404)",128,Student
"(378, 410)",124,Student
"(82, 81)",122,Student
"(201, 210)",121,Student
"(202, 201)",121,Student
"(410, 334)",120,Student
"(334, 380)",118,Student
"(214, 202)",118,Student
"(236, 168)",117,Student
"(210, 201)",113,Student
"(201, 202)",113,Student
"(202, 214)",113,Student
"(69, 53)",106,Student
"(397, 296)",106,Student
"(504, 489)",98,Student
"(513, 504)",95,Student
"(179, 302)",94,Student
"(213, 237)",93,Student
"(125, 236)",92,Student
"(613, 620)",83,Student
"(378, 395)",81,Student
"(237, 214)",81,Student
"(395, 394)",81,Student
"(410, 378)",80,Student
"(213, 229)",79,Student
"(433, 463)",79,Student
"(463, 433)",77,Student
"(229, 84)",77,Student
"(53, 69)",77,Student
"(84, 209)",77,Student
"(83, 82)",75,Student
"(231, 139)",73,Student
"(613, 594)",71,Student
"(209, 179)",71,Student
"(378, 296)",70,Student
"(139, 210)",68,Student
"(44, 179)",67,Student
"(26, 1)",65,Student
"(613, 593)",64,Staff
"(593, 488)",64,Staff
"(229, 83)",63,Student
"(432, 513)",59,Student
"(334, 410)",56,Student
"(181, 304)",56,Student
"(380, 334)",55,Student
"(178, 112)",54,Student
"(211, 240)",54,Student
"(267, 397)",54,Student
"(232, 229)",53,Student
"(225, 81)",53,Student
"(214, 178)",53,Student
"(53, 42)",52,Student
"(299, 397)",52,Student
"(78, 232)",51,Student
"(112, 234)",51,Student
"(1, 29)",50,Student
"(490, 517)",49,Student
"(209, 81)",49,Student
"(620, 619)",47,Student
"(81, 209)",45,Student
"(42, 181)",45,Student
"(53, 44)",45,Student
"(154, 214)",45,Student
"(568, 441)",44,Staff
"(181, 42)",44,Student
"(463, 489)",44,Student
"(209, 181)",44,Student
"(611, 568)",44,Staff
"(328, 377)",43,Student
"(380, 328)",43,Student
"(74, 69)",42,Student
"(579, 594)",42,Staff
"(375, 406)",41,Student
"(391, 378)",41,Student
"(42, 53)",41,Student
"(489, 463)",41,Student
"(594, 600)",41,Student
"(304, 181)",40,Student
"(225, 134)",39,Student
"(504, 513)",39,Student
"(489, 504)",39,Student
"(620, 624)",39,Student
"(594, 613)",39,Staff
"(50, 49)",38,Student
"(49, 74)",38,Student
"(593, 583)",38,Student
"(260, 299)",38,Student
"(396, 267)",37,Academic
"(342, 348)",35,Academic
"(179, 209)",34,Student
"(517, 489)",34,Student
"(138, 231)",33,Student
"(235, 125)",33,Student
"(69, 47)",33,Student
"(47, 69)",33,Student
"(147, 138)",32,Student
"(431, 513)",32,Student
"(214, 231)",32,Student
"(213, 168)",31,Student
"(210, 231)",31,Student
"(136, 225)",30,Student
"(374, 342)",30,Student
"(231, 136)",30,Student
"(240, 147)",30,Student
"(214, 237)",29,Student
"(466, 433)",28,Student
"(240, 210)",28,Student
"(594, 584)",28,Staff
"(99, 211)",27,Student
"(421, 490)",26,Student
"(270, 398)",26,Student
"(294, 400)",26,Student
"(4, 18)",26,Staff
"(346, 348)",25,Student
"(511, 433)",25,Student
"(172, 236)",25,Student
"(18, 4)",25,Staff
"(402, 514)",25,Student
"(594, 611)",25,Staff
"(584, 594)",24,Staff
"(76, 209)",24,Student
"(377, 301)",24,Student
"(228, 235)",24,Student
"(301, 270)",24,Student
"(58, 50)",24,Student
"(78, 172)",24,Student
"(26, 18)",24,Staff
"(512, 433)",24,Student
"(400, 346)",24,Student
"(227, 78)",23,Student
"(17, 44)",23,Staff
"(406, 348)",23,Student
"(134, 225)",23,Student
"(304, 268)",23,Student
"(34, 69)",23,Student
"(31, 53)",22,Student
"(513, 432)",22,Student
"(262, 260)",22,Student
"(348, 346)",22,Student
"(346, 400)",22,Student
"(343, 374)",22,Student
"(296, 397)",22,Student
"(489, 469)",22,Student
"(377, 410)",22,Academic
"(302, 394)",22,Student
"(224, 140)",21,Student
"(419, 512)",21,Student
"(53, 45)",21,Student
"(303, 442)",21,Student
"(442, 599)",21,Student
"(599, 579)",21,Student
"(263, 391)",21,Student
"(260, 263)",21,Student
"(259, 375)",21,Student
"(1, 26)",21,Student
"(432, 429)",21,Student
"(371, 291)",20,Student
"(239, 402)",20,Student
"(26, 17)",20,Student
"(433, 511)",20,Student
"(406, 343)",20,Student
"(170, 168)",20,Student
"(398, 371)",20,Student
"(181, 224)",20,Student
"(441, 568)",20,Student
"(624, 617)",20,Student
"(429, 432)",20,Student
"(568, 611)",20,Student
"(440, 304)",19,Staff
"(226, 213)",19,Student
"(38, 53)",19,Student
"(430, 432)",19,Student
"(166, 170)",19,Student
"(153, 154)",19,Student
"(405, 396)",19,Student
"(80, 209)",19,Student
"(304, 440)",19,Student
"(592, 440)",18,Staff
"(511, 515)",18,Student
"(79, 209)",18,Student
"(348, 349)",18,Student
"(462, 489)",18,Student
"(84, 82)",18,Student
"(29, 28)",18,Student
"(248, 394)",18,Student
"(510, 432)",17,Student
"(594, 585)",17,Student
"(214, 159)",17,Student
"(205, 173)",17,Student
"(214, 233)",17,Academic
"(394, 304)",17,Student
"(234, 205)",17,Student
"(414, 511)",16,Student
"(36, 53)",16,Student
"(134, 231)",16,Student
"(158, 231)",16,Student
"(212, 226)",16,Student
"(517, 499)",16,Student
"(499, 433)",16,Student
"(53, 46)",16,Student
"(290, 294)",16,Student
"(517, 490)",16,Student
"(433, 509)",16,Student
"(516, 509)",16,Student
"(395, 378)",15,Student
"(180, 303)",15,Student
"(509, 433)",15,Student
"(41, 40)",15,Student
"(348, 245)",15,Student
"(44, 53)",15,Student
"(18, 26)",15,Staff
"(253, 394)",15,Student
"(256, 391)",15,Student
"(32, 53)",15,Student
"(261, 394)",15,Student
"(594, 579)",15,Student
"(513, 431)",15,Student
"(250, 254)",15,Student
"(139, 231)",15,Student
"(431, 445)",15,Student
"(249, 394)",15,Student
"(264, 263)",14,Student
"(10, 70)",14,Staff
"(209, 140)",14,Student
"(70, 239)",14,Staff
"(8, 10)",14,Staff
"(252, 394)",14,Student
"(263, 299)",14,Student
"(392, 256)",14,Student
"(514, 501)",14,Staff
"(43, 180)",14,Student
"(237, 213)",14,Academic
"(250, 394)",14,Student
"(492, 462)",14,Student
"(620, 613)",13,Staff
"(269, 377)",13,Student
"(440, 592)",13,Student
"(393, 378)",13,Student
"(429, 435)",13,Academic
"(613, 584)",13,Academic
"(254, 393)",13,Student
"(107, 125)",13,Student
"(439, 510)",13,Student
"(489, 517)",13,Student
"(108, 78)",13,Student
"(255, 394)",12,Student
"(84, 229)",12,Student
"(209, 84)",12,Student
"(35, 50)",12,Student
"(624, 620)",12,Staff
"(18, 8)",12,Staff
"(261, 260)",12,Student
