Node,Occupancy,Room Name
9,265,BUILDING LOBBY
25,191,HK STORAGE
600,50,PATIENT UNIT CORRIDOR
514,48,ELEVATOR
619,47,COLLAB HUB
583,39,CLO.
53,38,EAST ATRIUM
380,37,ADMIN ENTRY
237,35,STORAGE
268,34,SEMINAR
234,34,ADMIN CORR.
140,34,SEMINAR
209,32,EAST ATRIUM
40,23,STUDENT SEATING
377,23,"ADMIN CORR,"
291,22,HUDDLE
469,22,OFFICE
173,21,HUDDLE
45,21,VESTIBULE
233,20,ADMIN CORR.
441,20,ELEVATOR
617,19,ADMIN. COORD.
378,19,PUBLIC (ENTRY)
435,18,STAFF OFFICE
28,18,STUDENT COLLABORATION
515,18,EQUIP.
349,18,OFFICE
396,18,ADMIN CORR.
585,17,ELECT
55,17,STAIR
159,17,WORKROOM/STORAGE
46,16,VESTIBULE
400,15,RECEPTION
245,15,HUDDLE
26,14,STAIR
397,14,ADMIN CORR.
401,11,DATA
545,11,SIM: MS
231,11,PUBLIC CORR.
443,10,OFFICE
436,10,STAFF OFFICE
69,10,PUBLIC CORR.
433,10,PUBLIC CORR
618,10,ADMIN CORRIDOR
42,10,STAIR
598,9,STAIR 04
206,9,STAIR 03
229,9,PUBLIC CORR.
375,9,COLLAB
421,9,CLASSROOM
41,8,CAFE STOR
43,8,STAIR
304,8,STAIR
11,8,VESTIBULE
12,7,VESTIBULE
584,7,TOILET
27,7,STAIR
257,7,ANATOMY / SPEECH STORAGE
490,7,COLLAB
303,7,STAIR
10,7,ELEVATOR
70,7,ELEVATOR
624,6,TOILET
399,6,ADMIN CORR.
381,6,DATA
398,6,ADMIN CORR.
516,6,COLLAB
516,6,COLLAB
154,6,HUDDLE
181,6,STAIR 01
413,6,HEALTH ASSESSMENT
56,5,VESTIBULE
254,5,ADL STORAGE
17,5,ELEVATOR
605,5,STORAGE
412,5,FOUNDATION SKILLS
379,5,ADMIN CORR.
215,4,ADMIN CORR.
302,4,ELEVATOR
445,4,OFFICE
166,4,HUDDLE
491,4,ADMIN ENTRY
44,3,ELEVATOR
29,3,PREFUNCTION
610,3,WEST ATRIUM
230,3,WEST ATRIUM
236,3,ADMIN CORR.
626,3,CORRIDOR
263,3,PEDIATRIC STORAGE
57,3,VESTIBULE
606,3,SIM STAFF
210,2,ADMIN CORR.
301,2,PANTRY
574,2,DEBRIEF / PREBRIEF (SP open)
294,2,WORKROOM / STORAGE
404,2,CLO.
513,2,RECEPTION
607,2,DF
374,2,PUBLIC CORR.
394,2,EAST ATRIUM
180,2,STAIR 02
235,2,ADMIN CORR.
62,2,CAFE SERVERY
147,1,CONF(12)
523,1,EXAM
476,1,OFFICE
615,1,DEAN'S EXECUTIVE EDUCATION
249,1,CLASSROOM
0,1,VESTIBULE
31,1,CLASSROOM
444,1,OFFICE
91,1,STAFF OFFICE
290,1,HUDDLE
78,1,DIAGNOSTIC CLASS LAB
611,1,EAST ATRIUM
510,1,ADMIN CORR.
32,1,CLASSROOM
616,1,DEAN
594,1,PUBLIC CORR.
