Step,AgentID,Starting Node,Current Node,Path,Agent Type
0,0,17,29,"[17, 26, 1, 11, 12, 1, 11, 12, 1, 11, 29]",Student
0,1,598,180,"[598, 493, 598, 493, 509, 441, 514, 402, 394, 303, 180]",Student
0,2,268,252,"[268, 252, 253, 252, 303, 394, 302, 402, 394, 303, 252]",Student
0,3,583,611,"[583, 593, 613, 558, 594, 569, 594, 579, 599, 579, 611]",Student
0,4,40,54,"[40, 66, 54, 66, 40, 62, 40, 66, 40, 66, 54]",Student
0,5,25,28,"[25, 20, 26, 18, 26, 6, 1, 11, 12, 29, 28]",Student
0,6,25,9,"[25, 19, 24, 1, 11, 1, 29, 9, 28, 29, 9]",Student
0,7,600,611,"[600, 586, 600, 594, 579, 611, 579, 594, 579, 594, 611]",Student
0,8,209,303,"[209, 180, 303, 180, 209, 180, 43, 180, 43, 180, 303]",Student
0,9,412,252,"[412, 509, 442, 509, 442, 303, 180, 303, 180, 303, 252]",Student
0,10,624,579,"[624, 620, 615, 620, 597, 620, 613, 594, 569, 611, 579]",Student
0,11,32,11,"[32, 67, 53, 43, 27, 6, 26, 6, 1, 12, 11]",Student
0,12,381,558,"[381, 343, 406, 348, 373, 403, 373, 488, 593, 613, 558]",Student
0,13,237,240,"[237, 231, 210, 165, 210, 240, 165, 210, 231, 210, 240]",Student
0,14,380,394,"[380, 329, 410, 377, 410, 377, 328, 410, 378, 395, 394]",Student
0,15,268,394,"[268, 253, 252, 253, 304, 394, 303, 252, 394, 302, 394]",Student
0,16,626,599,"[626, 611, 621, 514, 441, 514, 509, 441, 509, 442, 599]",Student
0,17,380,261,"[380, 374, 329, 377, 329, 410, 378, 391, 267, 396, 261]",Student
0,18,140,43,"[140, 79, 140, 209, 179, 44, 70, 53, 43, 180, 43]",Student
0,19,9,0,"[9, 0]",Student
0,20,173,179,"[173, 235, 209, 239, 209, 180, 209, 179, 239, 209, 179]",Student
0,21,585,302,"[585, 567, 585, 586, 600, 594, 569, 611, 568, 441, 302]",Student
0,22,25,0,"[25, 20, 1, 11, 29, 28, 0]",Student
0,23,25,18,"[25, 20, 26, 18, 26, 18, 8, 10, 17, 26, 18]",Student
0,24,514,180,"[514, 441, 509, 442, 303, 252, 394, 303, 394, 303, 180]",Student
0,25,9,0,"[9, 28, 9, 29, 9, 28, 0]",Student
0,26,349,406,"[349, 245, 349, 351, 349, 245, 349, 351, 352, 348, 406]",Student
0,27,617,442,"[617, 618, 624, 620, 615, 620, 615, 594, 579, 599, 442]",Student
0,28,619,620,"[619, 620, 597, 615, 620, 597, 620, 615, 620, 615, 620]",Student
0,29,583,302,"[583, 613, 584, 594, 579, 611, 568, 441, 302, 402, 302]",Student
0,30,234,44,"[234, 235, 209, 179, 209, 180, 209, 239, 70, 53, 44]",Student
0,31,377,343,"[377, 329, 374, 329, 374, 348, 406, 343, 348, 406, 343]",Student
0,32,396,394,"[396, 261, 396, 405, 394, 402, 302, 402, 302, 402, 394]",Student
0,33,380,348,"[380, 328, 410, 377, 329, 374, 329, 377, 329, 374, 348]",Student
0,34,291,11,"[291, 396, 394, 402, 302, 179, 44, 17, 6, 1, 11]",Student
0,35,46,26,"[46, 53, 70, 53, 70, 44, 53, 43, 27, 6, 26]",Student
0,36,46,44,"[46, 53, 44, 53, 70, 53, 44, 53, 44, 70, 44]",Student
0,37,25,0,"[25, 19, 24, 6, 26, 6, 26, 18, 29, 9, 0]",Student
0,38,377,410,"[377, 328, 377, 328, 377, 328, 410, 328, 377, 329, 410]",Student
0,39,9,0,"[9, 0]",Student
0,40,9,0,"[9, 29, 9, 28, 29, 0]",Student
0,41,25,12,"[25, 20, 26, 6, 26, 18, 8, 17, 6, 1, 12]",Student
0,42,401,405,"[401, 392, 256, 263, 267, 396, 261, 264, 261, 396, 405]",Student
0,43,514,20,"[514, 402, 394, 402, 302, 179, 44, 70, 10, 6, 20]",Student
0,44,234,228,"[234, 176, 234, 176, 234, 235, 228, 235, 228, 194, 228]",Student
0,45,234,1,"[234, 176, 205, 235, 194, 209, 180, 43, 27, 6, 1]",Student
0,46,379,359,"[379, 270, 301, 399, 294, 399, 359, 300, 359, 399, 359]",Student
0,47,291,44,"[291, 314, 291, 314, 396, 261, 396, 394, 302, 179, 44]",Student
0,48,25,0,"[25, 6, 1, 11, 29, 28, 0]",Student
0,49,600,394,"[600, 594, 611, 568, 441, 509, 442, 509, 442, 303, 394]",Student
0,50,9,0,"[9, 28, 9, 0]",Student
0,51,9,0,"[9, 29, 0]",Student
0,52,515,394,"[515, 412, 516, 412, 509, 442, 509, 514, 441, 302, 394]",Student
0,53,444,412,"[444, 443, 477, 510, 436, 448, 466, 511, 416, 511, 412]",Student
0,54,268,239,"[268, 252, 394, 303, 180, 43, 180, 43, 180, 209, 239]",Student
0,55,25,0,"[25, 19, 20, 6, 1, 29, 0]",Student
0,56,400,329,"[400, 294, 399, 294, 377, 328, 410, 328, 410, 377, 329]",Student
0,57,514,44,"[514, 402, 394, 402, 302, 179, 239, 179, 44, 53, 44]",Student
0,58,514,179,"[514, 402, 394, 303, 394, 302, 179, 239, 179, 239, 179]",Student
0,59,9,0,"[9, 28, 0]",Student
0,60,515,179,"[515, 414, 511, 412, 516, 509, 441, 302, 402, 302, 179]",Student
0,61,28,0,"[28, 0]",Student
0,62,303,8,"[303, 180, 209, 180, 43, 53, 70, 10, 8, 10, 8]",Student
0,63,53,1,"[53, 44, 53, 44, 53, 43, 27, 6, 20, 6, 1]",Student
0,64,53,0,"[53, 44, 53, 70, 10, 6, 26, 1, 29, 28, 0]",Student
0,65,9,0,"[9, 29, 9, 0]",Student
0,66,9,0,"[9, 0]",Student
0,67,600,621,"[600, 586, 600, 586, 600, 594, 579, 611, 579, 611, 621]",Student
0,68,268,6,"[268, 252, 303, 180, 43, 180, 43, 27, 6, 20, 6]",Student
0,69,25,0,"[25, 6, 26, 1, 12, 29, 0]",Student
0,70,400,329,"[400, 294, 377, 410, 377, 329, 374, 328, 410, 377, 329]",Student
0,71,605,43,"[605, 611, 568, 621, 514, 402, 239, 70, 44, 53, 43]",Student
0,72,619,594,"[619, 624, 617, 616, 618, 624, 617, 616, 618, 615, 594]",Student
0,73,140,6,"[140, 79, 209, 180, 43, 27, 43, 27, 6, 26, 6]",Student
0,74,435,509,"[435, 434, 466, 492, 511, 416, 511, 433, 461, 433, 509]",Student
0,75,9,0,"[9, 28, 9, 28, 9, 28, 9, 28, 0]",Student
0,76,349,394,"[349, 245, 348, 373, 348, 406, 375, 259, 375, 259, 394]",Student
0,77,154,194,"[154, 111, 214, 237, 214, 233, 177, 176, 205, 235, 194]",Student
0,78,380,391,"[380, 374, 328, 377, 410, 328, 374, 329, 410, 378, 391]",Student
0,79,53,44,"[53, 70, 53, 70, 53, 70, 53, 70, 44, 53, 44]",Student
0,80,605,394,"[605, 626, 611, 568, 621, 514, 402, 302, 394, 303, 394]",Student
0,81,401,179,"[401, 392, 256, 391, 395, 264, 261, 396, 394, 302, 179]",Student
0,82,25,29,"[25, 20, 6, 20, 26, 18, 26, 18, 26, 1, 29]",Student
0,83,514,70,"[514, 402, 239, 209, 179, 209, 179, 239, 179, 44, 70]",Student
0,84,600,441,"[600, 586, 594, 569, 611, 568, 621, 611, 621, 568, 441]",Student
0,85,25,29,"[25, 20, 1, 12, 11, 1, 11, 1, 12, 1, 29]",Student
0,86,9,0,"[9, 29, 0]",Student
0,87,397,396,"[397, 310, 266, 246, 396, 261, 396, 405, 396, 405, 396]",Student
0,88,11,0,"[11, 1, 11, 12, 11, 12, 11, 1, 29, 9, 0]",Student
0,89,9,0,"[9, 0]",Student
0,90,433,180,"[433, 509, 441, 302, 402, 302, 179, 209, 180, 43, 180]",Student
0,91,11,0,"[11, 29, 28, 29, 9, 0]",Student
0,92,401,180,"[401, 264, 395, 394, 303, 252, 253, 304, 181, 209, 180]",Student
0,93,53,12,"[53, 70, 10, 6, 26, 6, 20, 26, 6, 1, 12]",Student
0,94,583,611,"[583, 613, 584, 613, 594, 569, 579, 594, 569, 579, 611]",Student
0,95,600,514,"[600, 594, 579, 611, 568, 441, 509, 514, 509, 441, 514]",Student
0,96,55,34,"[55, 34]",Student
0,97,9,0,"[9, 28, 0]",Student
0,98,600,579,"[600, 604, 603, 604, 603, 600, 586, 594, 579, 594, 579]",Student
0,99,159,210,"[159, 214, 231, 210, 240, 210, 165, 210, 165, 240, 210]",Student
0,100,25,0,"[25, 6, 20, 1, 11, 29, 0]",Student
0,101,583,302,"[583, 613, 558, 613, 594, 611, 568, 441, 302, 402, 302]",Student
0,102,25,29,"[25, 19, 20, 1, 29, 28, 29, 28, 9, 28, 29]",Student
0,103,378,394,"[378, 393, 257, 250, 257, 393, 257, 250, 257, 250, 394]",Student
0,104,53,26,"[53, 70, 53, 43, 53, 70, 53, 44, 17, 6, 26]",Student
0,105,441,179,"[441, 509, 442, 303, 394, 302, 402, 302, 402, 302, 179]",Student
0,106,140,10,"[140, 79, 209, 179, 209, 179, 239, 179, 44, 70, 10]",Student
0,107,514,599,"[514, 509, 441, 514, 509, 514, 441, 514, 509, 442, 599]",Student
0,108,619,568,"[619, 624, 620, 613, 594, 569, 594, 579, 611, 621, 568]",Student
0,109,237,82,"[237, 213, 127, 146, 127, 213, 229, 83, 82, 84, 82]",Student
0,110,257,402,"[257, 255, 395, 394, 303, 394, 402, 302, 402, 394, 402]",Student
0,111,181,209,"[181, 209, 180, 209, 179, 209, 179, 239, 209, 179, 209]",Student
0,112,263,394,"[263, 391, 378, 395, 255, 395, 264, 395, 394, 402, 394]",Student
0,113,436,509,"[436, 437, 432, 466, 511, 416, 509, 442, 599, 442, 509]",Student
0,114,9,0,"[9, 0]",Student
0,115,234,239,"[234, 205, 234, 235, 194, 209, 179, 239, 179, 209, 239]",Student
0,116,619,514,"[619, 620, 613, 594, 569, 579, 611, 621, 568, 441, 514]",Student
0,117,514,303,"[514, 509, 442, 509, 514, 509, 514, 441, 302, 394, 303]",Student
0,118,515,509,"[515, 412, 516, 413, 516, 412, 511, 433, 509, 441, 509]",Student
0,119,600,252,"[600, 594, 579, 599, 442, 303, 394, 303, 252, 253, 252]",Student
0,120,443,239,"[443, 510, 432, 466, 433, 509, 514, 402, 394, 402, 239]",Student
0,121,445,511,"[445, 431, 445, 431, 445, 510, 436, 434, 466, 492, 511]",Student
0,122,45,70,"[45, 53, 70, 53, 43, 53, 43, 53, 44, 53, 70]",Student
0,123,140,0,"[140, 79, 209, 239, 70, 10, 6, 1, 29, 0]",Student
0,124,398,303,"[398, 371, 370, 396, 394, 402, 302, 179, 209, 180, 303]",Student
0,125,62,62,"[62, 40, 66, 54, 66, 40, 66, 40, 66, 40, 62]",Student
0,126,43,18,"[43, 53, 44, 70, 10, 8, 10, 6, 20, 26, 18]",Student
0,127,229,17,"[229, 83, 84, 82, 81, 209, 179, 44, 17, 8, 17]",Student
0,128,234,6,"[234, 235, 209, 239, 209, 180, 209, 179, 44, 17, 6]",Student
0,129,25,0,"[25, 6, 1, 12, 29, 0]",Student
0,130,490,509,"[490, 517, 490, 517, 490, 421, 509, 442, 509, 442, 509]",Student
0,131,9,0,"[9, 0]",Student
0,132,9,0,"[9, 28, 9, 0]",Student
0,133,25,0,"[25, 6, 20, 6, 1, 29, 9, 0]",Student
0,134,380,373,"[380, 328, 374, 328, 374, 348, 406, 348, 373, 403, 373]",Student
0,135,28,0,"[28, 9, 28, 9, 0]",Student
0,136,436,433,"[436, 437, 466, 433, 489, 463, 433, 461, 433, 461, 433]",Student
0,137,397,27,"[397, 391, 378, 395, 394, 302, 394, 303, 180, 43, 27]",Student
0,138,9,0,"[9, 28, 0]",Student
0,139,435,433,"[435, 437, 434, 466, 433, 489, 433, 461, 460, 461, 433]",Student
0,140,624,611,"[624, 618, 624, 617, 618, 624, 618, 615, 594, 569, 611]",Student
0,141,173,29,"[173, 205, 235, 209, 179, 44, 17, 6, 26, 1, 29]",Student
0,142,619,611,"[619, 620, 613, 584, 594, 579, 594, 579, 594, 569, 611]",Student
0,143,268,180,"[268, 253, 252, 303, 180, 43, 180, 303, 180, 43, 180]",Student
0,144,9,0,"[9, 28, 0]",Student
0,145,514,43,"[514, 402, 302, 402, 302, 394, 303, 180, 43, 27, 43]",Student
0,146,25,9,"[25, 19, 6, 1, 11, 12, 11, 29, 9, 29, 9]",Student
0,147,469,489,"[469, 470, 489, 463, 465, 463, 489, 499, 494, 499, 489]",Student
0,148,229,239,"[229, 84, 209, 180, 209, 180, 303, 394, 302, 402, 239]",Student
0,149,9,0,"[9, 29, 28, 0]",Student
0,150,53,8,"[53, 44, 17, 6, 20, 6, 26, 18, 8, 17, 8]",Student
0,151,53,0,"[53, 43, 27, 6, 1, 29, 28, 0]",Student
0,152,257,239,"[257, 255, 394, 303, 252, 253, 252, 303, 180, 209, 239]",Student
0,153,209,44,"[209, 239, 209, 180, 303, 394, 302, 179, 44, 53, 44]",Student
0,154,25,0,"[25, 20, 1, 12, 11, 29, 28, 0]",Student
0,155,400,374,"[400, 294, 295, 269, 335, 269, 399, 301, 377, 329, 374]",Student
