Count,Node1,Node2
35,17,26
13,598,493
12,268,252
27,583,593
55,40,66
62,25,20
71,25,19
33,600,586
129,209,180
11,412,509
26,624,620
5,32,67
3,381,343
23,237,231
12,380,329
11,268,253
4,626,611
17,380,374
21,140,79
183,9,0
9,173,235
12,585,567
67,514,441
173,9,28
11,349,245
31,617,618
22,619,620
25,583,613
27,234,235
53,377,329
32,396,261
9,380,328
8,291,396
16,46,53
34,377,328
138,9,29
7,401,392
58,514,402
18,234,176
4,379,270
8,291,314
58,25,6
26,600,594
6,515,412
2,444,443
9,400,294
10,515,414
116,28,0
80,303,180
103,53,44
3,605,611
25,619,624
12,435,434
4,154,111
91,53,70
1,605,626
5,397,310
67,11,1
42,433,509
59,11,29
3,401,264
26,600,604
8,159,214
29,378,393
60,441,509
51,514,509
11,237,213
6,257,255
10,181,209
2,263,391
6,436,437
21,234,205
6,443,510
3,445,431
21,45,53
6,398,371
58,62,40
65,43,53
9,229,83
10,490,517
97,28,9
5,397,391
4,435,437
29,624,618
5,173,205
9,469,470
5,229,84
88,53,43
126,209,239
8,413,516
72,303,252
26,615,620
8,516,412
8,159,233
63,12,11
5,159,153
9,291,371
13,585,594
155,29,9
20,396,405
76,44,53
55,40,62
17,584,558
31,618,624
43,377,410
7,42,181
12,173,182
76,26,1
11,268,394
12,412,516
48,12,29
4,230,229
93,26,18
8,435,448
36,374,328
2,607,594
57,441,302
8,490,421
28,233,150
29,618,615
15,140,209
114,209,179
26,378,391
41,27,6
2,57,53
26,618,617
22,378,395
11,349,351
78,180,209
6,545,579
3,491,439
26,231,210
52,17,6
23,617,624
25,27,43
3,206,210
82,302,179
82,70,10
8,400,346
3,606,575
33,433,461
40,10,17
3,413,509
9,349,348
8,400,292
3,436,434
21,233,177
15,237,214
9,421,509
104,394,303
37,235,209
11,245,364
2,154,159
12,245,348
31,617,616
11,304,252
18,47,48
20,233,178
63,43,27
5,304,394
6,91,166
8,436,448
13,469,467
14,140,80
47,441,514
1,290,269
8,421,490
5,443,477
1,381,374
80,26,6
3,236,226
2,610,594
3,55,34
2,69,53
6,42,67
1,41,40
20,48,47
5,69,74
3,215,91
9,257,393
1,610,538
3,56,53
2,545,564
2,65,48
10,245,349
2,513,504
29,375,259
69,70,53
19,616,618
57,12,1
5,229,230
8,399,294
4,397,267
3,230,81
1,57,35
27,210,240
6,510,435
107,28,29
76,611,579
11,516,509
28,373,348
6,42,53
1,78,125
2,51,49
2,381,341
5,545,546
56,43,180
23,584,613
3,491,438
1,605,521
1,445,444
14,375,406
33,396,394
7,166,91
10,304,181
1,41,62
2,606,577
8,181,42
3,254,393
1,31,32
4,206,373
2,236,125
47,17,8
14,210,231
5,399,359
2,166,235
40,231,134
1,574,577
3,491,511
8,469,489
4,398,370
1,301,270
15,584,594
1,254,257
30,231,136
8,398,396
2,379,266
9,585,586
5,56,52
64,303,394
7,249,394
8,294,295
8,257,250
77,302,394
42,10,6
2,476,482
1,443,444
84,180,43
26,10,8
1,215,127
5,516,413
1,513,432
73,44,70
