Node,Occupancy,Room Name
0,445,VESTIBULE
394,49,EAST ATRIUM
209,49,EAST ATRIUM
29,43,PREFUNCTION
239,41,ELEVATOR
179,41,ELEVATOR
303,37,STAIR
180,32,STAIR 02
302,32,ELEVATOR
6,31,MECHANICAL
53,30,EAST ATRIUM
1,28,AUDITORIUM
579,28,PATIENT UNIT CORRIDOR
44,27,ELEVATOR
402,25,ELEVATOR
70,24,ELEVATOR
599,23,STAIR 02
611,23,EAST ATRIUM
509,23,EAST ATRIUM
9,23,BUILDING LOBBY
26,22,STAIR
594,22,PUBLIC CORR.
43,21,STAIR
348,20,ADMIN CORR.
12,20,VESTIBULE
17,20,ELEVATOR
621,19,ELEVATOR
441,19,ELEVATOR
514,18,ELEVATOR
40,18,STUDENT SEATING
8,17,MACH RM
252,16,CLASSROOM
11,16,VESTIBULE
20,15,MDF
28,15,STUDENT COLLABORATION
442,14,STAIR 02
10,13,ELEVATOR
18,13,CORRIDOR
568,12,ELEVATOR
433,10,PUBLIC CORR
34,10,CLASSROOM
210,10,ADMIN CORR.
54,10,WEST STEPS
410,9,STORAGE
403,9,NICHE
620,8,WAITING / PREFUNCTION
489,8,ADMIN COR.
395,7,PUBLIC CORR.
225,7,JAN
377,7,"ADMIN CORR,"
511,7,PUBLIC CORR.
134,7,TOILET
374,7,PUBLIC CORR.
329,7,OFFICE
343,6,CONF(12)
460,6,TOILET
569,6,SIM: LD
463,6,TOILET
378,5,PUBLIC (ENTRY)
240,5,CLO.
136,5,TOILET
373,5,STAIR 03
228,5,COLLAB
231,5,PUBLIC CORR.
328,4,OFFICE
597,4,ADMIN ENTRY
255,4,ANATOMY CLASS LAB
558,4,WORKRM/ STOR
613,4,ADMIN CORR.
194,4,OFFICE
584,4,TOILET
27,4,STAIR
406,4,CLO.
618,3,ADMIN CORRIDOR
47,3,TOILET
253,3,CLASSROOM
81,3,COMPUTER CLASSROOM
176,3,OFFICE
66,3,DF / TRASH+RE
235,3,ADMIN CORR.
165,3,CHAIR OFFICE
82,3,COMPUTER CLASSROOM
375,3,COLLAB
233,3,ADMIN CORR.
461,3,TOILET
261,3,RESEARCH
615,2,DEAN'S EXECUTIVE EDUCATION
178,2,PANTRY
501,2,VENDING / TRASH+RECYCLING
393,2,WEST ATRIUM
259,2,CLASSROOM
234,2,ADMIN CORR.
211,2,COLLAB
264,2,PEDIATRIC CLASS LAB
516,2,COLLAB
516,2,COLLAB
465,2,TOILET
624,2,TOILET
499,2,CONF(12)
391,2,WELLNESS
405,2,COLLAB
405,2,COLLAB
416,2,FOUNDATION SKILLS
492,2,ADMIN ENTRY
104,2,OFFICE
488,2,STAIR 03
257,1,ANATOMY / SPEECH STORAGE
52,1,AV SUPPORT
250,1,ADL CLASS LAB
91,1,STAFF OFFICE
58,1,CLASSROOM STORAGE
226,1,MEDITATION
150,1,CHAIR OFFICE
213,1,ADMIN ENTRY
616,1,DEAN
223,1,AV CLO.
359,1,CHAIR OFFICE
437,1,STAFF OFFICE
600,1,PATIENT UNIT CORRIDOR
593,1,STAIR 03
412,1,FOUNDATION SKILLS
399,1,ADMIN CORR.
249,1,CLASSROOM
396,1,ADMIN CORR.
62,1,CAFE SERVERY
245,1,HUDDLE
469,1,OFFICE
106,1,RESEARCH
80,1,CLASSROOM
42,1,STAIR
626,1,CORRIDOR
49,1,ELECT
48,1,TOILET
127,1,STAFF OFFICE
