Count,Node1,Node2
329,17,26
24,598,493
8,268,252
36,583,593
2672,40,62
71,25,6
33,600,586
562,209,179
12,412,516
37,624,620
1,32,31
3,381,341
15,237,231
17,380,328
11,268,253
4,626,611
14,140,80
511,9,29
5,173,205
19,585,567
56,25,20
171,514,441
475,9,0
12,349,351
25,617,616
23,619,620
29,234,235
77,377,329
34,396,394
11,291,314
16,46,53
64,25,19
80,377,410
461,9,28
7,401,395
188,514,402
28,234,176
3,379,246
6,291,371
7,515,511
4,444,510
15,268,394
11,400,294
174,514,509
5,515,412
391,28,29
440,303,252
474,53,44
486,53,43
3,605,521
10,140,79
12,435,448
8,349,245
2,154,159
12,380,329
7,397,267
288,11,12
76,433,489
304,11,1
4,401,392
32,583,613
5,69,53
27,600,604
8,159,233
36,378,391
181,441,509
21,140,209
16,237,213
17,257,255
26,181,304
2,263,264
5,436,448
24,619,624
24,600,594
4,443,510
4,445,431
21,45,53
3,398,370
2674,62,40
368,43,53
12,229,83
12,490,517
2,397,310
6,435,434
11,173,182
9,469,467
502,53,70
10,257,393
573,209,180
6,413,516
458,303,394
26,615,594
7,516,412
283,12,11
170,441,514
27,396,405
7,515,414
6,159,214
7,291,396
765,29,0
31,396,261
492,44,53
2810,40,66
30,234,205
21,584,558
30,618,617
10,42,67
404,26,6
14,412,509
17,237,214
288,12,29
189,441,302
15,585,594
9,159,153
3,230,82
71,377,328
433,26,1
53,374,329
3,69,74
2,607,591
5,443,444
11,435,437
38,233,178
22,618,624
11,173,235
94,433,509
36,378,395
201,27,43
3,57,35
480,180,209
11,490,421
4,545,579
1,491,511
66,231,210
325,17,8
45,617,624
3,206,210
389,302,402
504,70,44
8,400,292
1,606,577
567,209,239
16,257,250
248,10,6
6,413,509
33,233,177
8,380,374
4,436,434
64,231,134
44,233,150
11,421,490
579,394,402
9,421,509
51,235,194
11,245,348
2,154,214
9,245,364
21,304,252
7,55,34
376,43,27
37,304,394
410,28,0
8,91,127
9,469,489
4,436,437
7,469,470
1,290,294
3,443,477
1,381,343
409,26,18
3,236,125
2,229,230
1,610,612
52,210,231
3,51,49
5,397,391
575,394,303
23,618,615
1,65,48
76,433,461
1,215,91
1,610,594
2,154,111
3,56,53
6,545,546
7,42,53
1,513,431
49,375,259
472,70,10
13,616,618
3,381,374
492,70,53
6,399,359
19,181,209
74,373,403
2,510,432
7,42,181
4,56,35
45,378,393
178,611,621
26,624,618
76,373,348
6,245,349
5,215,127
1,78,125
9,399,301
67,210,240
26,617,618
3,610,538
1,41,40
11,585,586
276,11,29
9,400,346
2,545,564
743,29,28
387,43,180
430,303,180
421,28,9
4,491,438
6,56,52
62,375,406
2,605,611
1,445,444
4,166,91
42,304,181
2,606,575
4,254,257
1,31,53
2,69,51
5,166,235
2,574,573
8,399,294
34,624,617
8,398,396
7,301,377
28,584,594
2,379,266
1,254,250
55,231,136
1,379,270
9,349,348
11,249,407
12,294,377
375,302,179
24,584,613
499,47,48
6,398,371
248,10,8
366,302,394
2,476,489
1,215,112
6,516,413
2,513,504
308,12,1
1,404,409
2,607,608
11,516,509
3,301,399
2,523,522
460,44,70
1,206,373
761,29,9
2,263,267
182,27,6
1,147,210
2,606,528
145,594,569
1,404,348
259,10,17
9,294,399
2,236,226
15,493,598
201,252,394
23,593,488
470,6,26
22,586,585
449,179,44
45,620,597
1,31,32
1,341,381
69,328,374
60,253,394
204,611,579
76,328,410
6,80,209
17,205,176
6,567,585
198,20,6
199,20,26
5,351,349
29,593,583
64,235,228
50,329,377
5,314,316
24,19,20
70,410,377
478,6,1
36,395,255
367,402,302
23,176,235
18,176,234
4,246,266
8,371,398
513,6,20
12,586,600
19,511,412
11,510,435
211,509,514
15,412,511
153,252,303
478,44,17
2,294,295
4,521,611
6,79,140
7,448,466
45,329,410
3,521,626
43,395,264
19,19,6
25,19,24
7,267,391
67,489,499
584,1,12
1,392,264
47,613,594
11,604,600
26,593,613
15,391,378
227,509,441
33,620,613
11,213,229
25,255,395
22,264,395
6,448,434
144,594,611
3,510,436
1,431,513
3,370,371
5,83,84
18,176,205
5,517,490
3,310,246
12,434,437
3,182,235
196,20,1
2,467,487
5,83,82
21,393,395
436,180,43
51,613,558
570,394,302
386,402,394
16,405,249
5,414,412
12,214,231
178,252,253
8,567,600
21,261,394
2799,66,40
16,205,234
23,558,584
220,509,442
66,410,378
1,67,32
6,182,173
13,214,237
481,179,209
143,594,579
4,153,233
15,82,84
66,328,377
569,1,29
1,414,515
13,267,261
6,74,49
5,80,140
1,591,607
41,620,615
12,437,466
12,178,214
50,395,394
13,616,617
6,35,53
164,579,594
4,153,159
61,210,165
241,8,17
17,391,267
8,292,400
4,577,521
488,239,179
2776,66,54
63,489,463
13,250,257
4,314,396
192,579,611
9,493,509
23,177,233
58,374,328
54,134,136
22,150,233
403,402,239
43,613,584
63,253,252
23,194,209
119,348,373
7,364,356
12,150,104
4,35,56
499,239,70
8,127,146
14,434,466
5,467,489
12,437,434
9,604,603
1,470,469
13,177,234
16,391,395
2,477,444
24,343,374
220,18,8
3,125,235
199,611,568
3,392,256
1,230,229
15,586,594
1,612,610
4,49,74
4,67,42
31,615,620
47,329,374
66,253,304
1,414,511
10,604,594
500,48,47
18,178,233
495,179,239
28,461,433
215,579,599
6,91,166
11,250,255
1,111,214
5,546,579
3,517,489
2,314,291
3,431,445
4,470,481
48,461,460
19,259,394
1,230,81
13,214,233
3,359,306
11,82,209
6,35,58
94,403,348
14,432,437
9,80,79
2,182,184
92,621,514
101,348,403
1,153,111
1,125,106
61,240,211
1,538,610
18,261,264
7,79,209
57,235,209
2,341,374
9,213,127
6,79,80
4,346,348
120,348,406
2,564,576
26,558,613
8,213,226
2,438,466
2,52,58
65,406,348
3,444,477
13,250,394
11,405,396
2,111,233
476,180,303
10,127,91
2,575,606
1,546,545
7,51,74
2,125,107
30,259,375
276,8,10
20,205,235
19,393,257
4,364,348
1,573,525
6,267,396
2,438,491
20,511,416
15,393,378
3,477,510
3,351,348
21,511,433
2,266,378
52,136,225
2,270,301
5,346,400
26,264,394
10,181,42
4,407,405
65,410,328
69,406,343
3,371,370
45,136,231
4,448,432
234,18,26
10,178,112
276,8,18
4,371,396
18,434,432
3,112,215
1,504,513
2,444,443
577,1,11
8,51,50
50,134,231
17,150,177
17,437,432
4,470,489
1,409,348
2,608,607
69,489,433
10,405,394
1,573,529
21,261,396
1,522,523
4,52,56
36,461,501
5,351,352
2,467,469
1,564,579
2,528,614
48,569,594
47,134,225
329,17,6
2,226,125
42,488,593
25,597,594
2,32,53
44,374,348
28,228,209
4,316,318
19,255,394
2,266,310
1,295,294
20,466,492
3,364,245
1,626,622
10,24,6
24,499,433
9,229,84
14,84,82
4,246,396
1,487,489
23,558,594
2,266,246
5,249,394
28,488,373
4,24,19
141,442,599
3,49,51
19,466,511
29,228,194
11,24,1
47,165,240
65,165,210
3,316,317
1,521,577
2768,54,66
25,463,465
22,499,494
4,517,499
27,194,235
5,356,358
6,104,75
5,146,91
3,603,594
88,568,621
1,256,263
30,194,228
18,466,433
117,442,303
8,74,51
29,615,597
189,599,442
3,166,236
23,463,433
52,569,611
2,445,510
2,481,470
35,488,489
16,460,461
22,81,209
3,306,305
6,58,50
8,82,81
3,184,185
478,239,209
81,403,373
2,106,235
49,211,165
2,481,471
34,499,489
2,104,233
28,597,620
1,576,564
1,487,482
151,442,509
6,226,213
6,127,213
5,84,223
2,256,395
2,107,106
3,603,600
1,525,529
9,416,509
1,491,439
16,264,261
41,211,240
42,225,81
52,240,165
72,406,375
82,373,488
16,432,434
6,112,234
21,597,615
231,18,29
6,249,405
25,463,489
12,84,209
1,513,432
6,50,35
37,228,235
12,432,466
3,359,399
