Phase,AgentID,Starting Room Name,Starting Node,Room Name,Path,Agent Type,Environmental Preference,Circulation Preference,Spatial Preference,Target Normalized Degree Centrality,Target Normalized Closeness Centrality,Target Normalized Betweenness Centrality,Target Normalized PageRank,Target Normalized Clustering,Target Normalized Core Number,Target Normalized Circulation Index,Target Normalized Occupancy,Target Normalized Isovist Area,Target Normalized Perimeter,Target Normalized Compactness,Target Normalized Circularity,Target Normalized Convex Deficiency,Target Normalized Occlusivity,Target Normalized Skewness,Target Normalized Dispersion,Target Normalized Elongation,Target Normalized Incident Radiation,Target Normalized Sunlight Hours,Target Normalized Daylight Factor,Target Normalized Standard Effective Temperature,Target Normalized Predicted Mean Vote,Target Normalized Comfort Acceptance,Target Normalized Subject Condition,Toilet Break Interval,Cafe Break Intervals,Environmental Average,Circulation Average,Spatial Average,Dominant Preference,Target Node Index,Target Node Name
2,0,ADMIN CORR.,31,CLASSROOM,,Student,0.2,0.3414634146341463,0.4585365853658537,0.08,0.34,0.99,0.14,0.3,0.38,0.13,0.32,0.34,0.71,0.99,0.01,0.14,0.93,0.49,0.08,0.36,0.29,0.71,0.16,0.64,0.23,0.44,0.04,0.9,0.75,0.3586,0.3371,0.4613,Spatial Preference,17,ELEVATOR
2,1,STAIR 04,249,CLASSROOM,,Student,0.5847953216374269,0.087719298245614,0.3274853801169591,0.81,0.16,0.87,0.9,0.77,0.14,0.35,0.36,0.68,0.16,0.86,0.55,0.19,0.75,0.15,0.25,1.0,0.67,0.67,0.26,0.3,0.79,0.17,0.97,0.01,0.17,0.5471,0.5714,0.4488,Environmental Preference,598,STAIR 01
2,2,ADMIN CORR.,290,HUDDLE,,Student,0.3300970873786408,0.3058252427184466,0.3640776699029126,0.34,0.42,0.73,0.25,0.33,0.51,0.17,0.57,0.35,0.33,0.72,0.05,0.76,0.1,0.9,0.8,0.15,0.21,0.53,0.79,0.42,0.98,0.63,0.07,0.12,0.94,0.5186,0.3929,0.5012,Spatial Preference,268,SEMINAR
2,3,STUDENT SEATING,260,RESEARCH,,Student,0.016,0.536,0.448,0.19,0.6,0.27,0.65,0.09,0.74,0.98,0.76,0.47,0.91,0.33,0.95,0.93,0.04,0.67,0.91,0.74,0.63,0.76,0.52,0.82,0.57,0.51,0.16,0.24,0.57,0.5671,0.5029,0.6513,Circulation Preference,583,EXAM SUITE CORRIDOR
2,4,STUDENT COLLABORATION,419,SKILLS LAB STORAGE,,Student,0.4125560538116592,0.2914798206278027,0.2959641255605381,0.85,0.48,0.3,0.16,0.26,0.32,0.63,0.05,0.04,0.51,0.96,0.64,0.04,0.88,0.54,0.0,0.65,0.09,0.41,0.94,0.19,0.82,0.29,0.76,0.12,0.68,0.5,0.4286,0.4512,Environmental Preference,40,STUDENT SEATING
2,5,PUBLIC CORR.,99,CLASSROOM,,Student,0.4817518248175182,0.3138686131386861,0.2043795620437956,0.03,0.22,0.45,0.26,0.39,0.6,0.77,0.74,0.94,0.18,0.04,0.68,0.98,0.34,0.42,0.86,0.82,0.01,0.77,0.3,0.78,0.12,0.48,0.46,0.13,0.06,0.4171,0.3886,0.555,Environmental Preference,25,HK STORAGE
2,6,ADMIN CORR.,375,COLLAB,,Student,0.84,0.1333333333333333,0.0266666666666666,0.8,0.16,0.89,0.03,0.22,0.02,0.95,0.07,0.95,0.96,0.72,0.91,0.47,0.42,0.2,0.77,0.27,0.16,0.44,0.7,0.37,0.07,0.03,0.37,0.88,0.1,0.3057,0.4386,0.675,Environmental Preference,25,HK STORAGE
2,7,EAST ATRIUM,107,RESEARCH,,Student,0.3253968253968253,0.6428571428571429,0.0317460317460317,0.31,0.51,0.89,0.32,0.31,0.68,0.87,0.51,0.89,0.8,0.97,0.81,0.08,0.8,0.22,0.5,0.67,0.49,0.15,0.48,0.16,0.53,0.24,0.04,0.8,0.82,0.2986,0.5557,0.6338,Circulation Preference,600,PUBLIC CORR.
2,8,PREFUNCTION,99,CLASSROOM,,Student,0.2451612903225806,0.2580645161290322,0.4967741935483871,0.96,0.09,0.65,0.45,0.46,0.49,0.04,0.01,0.07,0.42,0.4,0.11,0.62,0.92,0.91,0.21,0.46,0.62,0.92,0.42,0.17,0.31,0.64,0.25,0.54,0.49,0.4757,0.4486,0.4575,Spatial Preference,209,EAST ATRIUM
2,9,PUBLIC CORR.,419,SKILLS LAB STORAGE,,Student,0.2420382165605095,0.3184713375796179,0.4394904458598726,0.26,0.18,0.03,0.6,0.49,0.53,0.93,0.37,0.98,0.34,0.92,0.1,0.62,0.27,0.34,0.36,0.98,0.52,0.53,0.61,0.76,0.6,0.85,0.29,0.0,0.82,0.5943,0.4314,0.4912,Spatial Preference,412,PANTRY
