vi,vj,wall_id
1,10,dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7b30
1,29,dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7af2
2,7,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5
2,12,e2b1666c-928c-4f3a-832e-7eda99205d2a-012d09bc
2,12,77ae5268-a957-483b-a1ee-2062ba5e5aa4-00e496a5
2,12,a1031554-a74d-41cb-a216-62fc86a34c5f-0117e8ee
2,12,5ed42088-aefe-4a48-82b1-a33d18853d71-00c38fe9
2,13,376f43b0-64f8-4683-ba8d-a50c145e5280-00989b2a
2,13,77ae5268-a957-483b-a1ee-2062ba5e5aa4-00e496a4
2,13,bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5bfba
2,13,a1031554-a74d-41cb-a216-62fc86a34c5f-0117e8ee
2,21,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5
2,27,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5
2,30,e2b1666c-928c-4f3a-832e-7eda99205d2a-012d09bc
2,30,bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5bfba
3,19,0bab81fd-76b9-454b-84c1-6d33eb4ed040-011f557c
3,24,38003318-ed37-49df-8cec-8071e099fd5d-00dde5df
3,24,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75270
4,5,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
4,6,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
4,14,a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad045b
4,14,a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad0452
4,14,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
4,19,38003318-ed37-49df-8cec-8071e099fd5d-00dde378
4,19,90e15160-c3b7-4a14-a1ad-21234505fbd5-01038948
4,19,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
5,6,72771886-817c-4a66-98b0-a981f3067322-00aaaa1f
5,6,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
5,6,a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00acfff9
5,14,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
5,19,38003318-ed37-49df-8cec-8071e099fd5d-00dde2a7
5,19,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c98f
5,19,90e15160-c3b7-4a14-a1ad-21234505fbd5-0103889a
5,19,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
6,14,a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00acfeb2
6,14,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
6,19,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
7,8,2b47f844-699d-4189-905d-4426a81a7ec7-01403a2a
7,11,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c98a
7,15,961b2e1b-29c8-4dac-bd4f-a6ca4313a9bd-00d1211c
7,15,f322f0f7-0cc2-471c-bf48-b982c4fcadeb-0140472d
7,15,e0feff97-b12f-46e2-922d-cf3e3980248f-0107733f
7,16,470d7d4b-ede5-4327-9478-12c9346ba111-009a26b1
7,16,af16bf47-71b4-45b9-a91a-e32e7f405024-00aad860
7,16,6dffb59e-f495-4819-a59b-124edf4023c9-0075e3d7
7,18,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c98a
7,18,bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1668
7,20,d668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2
7,20,02c5347d-e9ac-4767-95cd-97e2f19418eb-00c7de0a
7,20,a5c07732-b2a9-4068-9b1e-9376de097cce-007f8fc2
7,21,d668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2
7,21,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5
7,21,e94c07fd-f379-43dc-a38b-22375bac560c-0166b38d
7,21,a464efa7-7cb8-4bcf-8950-765a1b688e69-013d9434
7,21,5924e393-23cd-4dc4-8af6-27d1d15f2ed2-0167d4b6
7,22,d668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2
7,22,a464efa7-7cb8-4bcf-8950-765a1b688e69-013d939c
7,23,e0feff97-b12f-46e2-922d-cf3e3980248f-01077379
7,25,3d9ae657-a87c-4103-b2c7-eeb7ec4178f7-0167d813
7,25,02c5347d-e9ac-4767-95cd-97e2f19418eb-00c7de0a
7,25,a5c07732-b2a9-4068-9b1e-9376de097cce-007f8fc2
7,26,d668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2
7,26,64b23b31-573d-4279-b518-a7bcff86efda-016cd1a5
7,27,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5
7,27,bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1668
7,28,e4ff15b1-0f15-4cb9-a744-cf23617afa38-00c45959
7,28,8d9f44b4-fa22-49a6-a833-50d961a47ce0-0112b0f7
7,31,a464efa7-7cb8-4bcf-8950-765a1b688e69-013d9421
7,31,64b23b31-573d-4279-b518-a7bcff86efda-016cd1a5
8,17,d5edd12b-faa9-47e6-b610-fe8d8ddd5bc0-01083ac1
9,11,bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1537
9,18,bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1537
9,19,02c5347d-e9ac-4767-95cd-97e2f19418eb-00c7dd3c
11,18,bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1537
11,18,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c98a
12,13,a1031554-a74d-41cb-a216-62fc86a34c5f-0117e8ee
12,30,bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5bfc5
12,30,e2b1666c-928c-4f3a-832e-7eda99205d2a-012d09bc
13,30,bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5c00a
13,30,bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5bfba
14,19,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
