vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Wall Unique ID
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,3,HP5209,MAKERSPACE MEDIA LAB,02e8bcb1-d354-4633-936e-deb3c8a27a36-002bfcca,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b6
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,3,HP5209,MAKERSPACE MEDIA LAB,02e8bcb1-d354-4633-936e-deb3c8a27a36-002bfcca,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b7
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,4,HP5209A,MAKERSPACE SHOP,02e8bcb1-d354-4633-936e-deb3c8a27a36-002bfe28,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b6
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,4,HP5209A,MAKERSPACE SHOP,02e8bcb1-d354-4633-936e-deb3c8a27a36-002bfe28,4919242b-a5c9-4fb2-b12f-261c478b6212-008f2639
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,4,HP5209A,MAKERSPACE SHOP,02e8bcb1-d354-4633-936e-deb3c8a27a36-002bfe28,0e761f51-42aa-4de6-ac42-ca0b3edd4be9-01303a7c
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,98,HP5002,EAST ATRIUM,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,86fab957-a5da-4c31-998a-3e9570e1f824-00869b1d
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,98,HP5002,EAST ATRIUM,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,86fab957-a5da-4c31-998a-3e9570e1f824-00869ab0
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,98,HP5002,EAST ATRIUM,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b5
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,98,HP5002,EAST ATRIUM,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,86fab957-a5da-4c31-998a-3e9570e1f824-00869aaf
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,98,HP5002,EAST ATRIUM,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,b07b4cef-2dc1-4d0d-a6c7-d230994314cc-00b89982
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,98,HP5002,EAST ATRIUM,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,86fab957-a5da-4c31-998a-3e9570e1f824-00869acd
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,98,HP5002,EAST ATRIUM,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb64a
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,98,HP5002,EAST ATRIUM,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb6b7
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,98,HP5002,EAST ATRIUM,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,86fab957-a5da-4c31-998a-3e9570e1f824-00869aa3
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,98,HP5002,EAST ATRIUM,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,86fab957-a5da-4c31-998a-3e9570e1f824-00869ac8
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,100,HP-C50B,PUBLIC CORR.,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089b9e5,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b7
1,HP5205,FOUNDATION SKILLS,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,104,HP5020,EQUIP.,86b73b17-7390-4f21-a8ed-1c1247bdfcc6-00b88c1a,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b7
