vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Access,Connecting Centroids Distance
0,HP1000A,VESTIBULE,363b0869-408a-48a6-bd1a-c1220b2aa530-003e369c,9,HP1000,BUILDING LOBBY,01dcde21-cacf-4769-a509-88c3cf060c87-004ac566,1,20.37783607
0,HP1000A,VESTIBULE,363b0869-408a-48a6-bd1a-c1220b2aa530-003e369c,28,HP1000B,STUDENT COLLABORATION,2c0d3547-87ca-45c6-b1fe-ce310deaa504-00d51595,1,42.1127563
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,0,84.89706683
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,11,HP1200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce5,1,21.34282902
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,12,HP1200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce8,1,22.17037792
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,20,HP0029,MDF,daf4cc29-8748-463b-9ed0-988770a8d426-00753e80,0,54.0624501
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,26,HP-ST-100,STAIR,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b885aa,0,64.35579617
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,29,HP1000C,PREFUNCTION,2c0d3547-87ca-45c6-b1fe-ce310deaa504-00d515a8,1,29.04300563
2,HP1011,JAN,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e67,18,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,1,31.04103288
2,HP1011,JAN,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e67,23,HP1010,FURN STOR,574ed27a-250f-40d2-b3a1-f80dfd90834f-00aabe8e,1,10.0270325
3,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,4,HP1013,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,0,20.51643471
3,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,5,HP1013A,SHOWER,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a23ef,0,13.10734613
3,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,13,HP1012A,SHOWER,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,1,8.327509118
3,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,18,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,1,18.60217416
4,HP1013,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,5,HP1013A,SHOWER,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a23ef,1,8.394147609
4,HP1013,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,13,HP1012A,SHOWER,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,0,13.29060992
4,HP1013,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,18,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,1,11.92701756
5,HP1013A,SHOWER,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a23ef,13,HP1012A,SHOWER,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,0,5.087550203
