roomnames,daylightfactor,standardeffectivetemperature,predictedmeanvote,generalcomfort,thermalstatusdryhumid,Level
HP1000A,1.277468,28.276357,-1.06052,0.085046,-0.167237,1
HP1200,0.0,28.157577,-1.164895,0.086187,-0.179566,1
HP1011,0.0,28.211082,-1.138652,0.085274,-0.17363,1
HP1012,0.0,28.506602,-0.871849,0.088128,-0.142694,1
HP1013,0.0,29.450333,-0.262603,0.101712,-0.044406,1
HP1013A,0.0,29.178967,-0.415615,0.096233,-0.07089,1
HP1000,0.0,30.615687,0.253876,0.118493,0.061416,1
HP-EL-1,0.0,30.234997,0.106985,0.119977,0.029566,1
HP1200A,0.0,30.234997,0.106985,0.119977,0.029566,1
HP1200B,0.0,30.234997,0.106985,0.119977,0.029566,1
HP1012A,0.0,30.234997,0.106985,0.119977,0.029566,1
HP-EL-3,0.0,30.234997,0.106985,0.119977,0.029566,1
HP-EL-2,0.0,30.234997,0.106985,0.119977,0.029566,1
HP-C10A,0.0,30.234997,0.106985,0.119977,0.029566,1
HP-ST-100,0.0,30.234997,0.106985,0.119977,0.029566,1
HP1000B,0.144827,30.735592,0.303971,0.119863,0.071689,1
HP1000C,3.2817e-07,30.525166,0.218777,0.117808,0.052283,1
HP2304,0.0,28.432984,-0.984408,0.083562,-0.153881,2
HP2306,0.0,28.323759,-1.082977,0.084018,-0.165068,2
HP2106,1.0603e-08,28.158808,-1.164351,0.086187,-0.179566,2
HP2102,0.0,28.613455,-0.822137,0.085616,-0.132877,2
HP2202,0.0,29.450333,-0.262603,0.101712,-0.044406,2
HP2310,0.0,29.386991,-0.327134,0.093265,-0.053995,2
HP2302,1.5003e-07,30.613553,0.25105,0.117466,0.060616,2
HP2312,0.0,30.701608,0.288216,0.119863,0.071461,2
HP2303,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2000,0.000322,30.48156,0.201571,0.118151,0.048973,2
HP2001C,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2103,0.003292,30.35114,0.150807,0.118721,0.038813,2
HP-ST-201,0.122068,30.34614,0.149067,0.118836,0.038699,2
HP-ST-202,0.173477,30.367582,0.157289,0.118721,0.040411,2
HP-EL-2,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2018,0.0,30.235456,0.107127,0.119977,0.029566,2
HP2002B,0.272048,30.507065,0.211376,0.118151,0.051256,2
HP2002A,0.845835,30.446737,0.185721,0.119292,0.045548,2
HP2010,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2012A,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2017,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2019,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2010A,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2200C,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2002,0.042571,30.234997,0.106985,0.119977,0.029566,2
HP2001A,0.0,30.276723,0.12268,0.119521,0.032991,2
HP-ST-203,0.0,30.281544,0.124438,0.119292,0.033219,2
HP2200B,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2200A,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2203,0.0,30.234997,0.106985,0.119977,0.029566,2
HP-EL-3,0.0,30.234997,0.106985,0.119977,0.029566,2
HP2310A,0.0,30.234997,0.106985,0.119977,0.029566,2
