vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Access
57,HP2200A,VESTIBULE HP2200A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac986,35,HP2202,AUDITORIUM,c186d33f-1f56-48f9-9a56-be5a652e9237-00305be5,1
57,HP2200A,VESTIBULE HP2200A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac986,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1
157,HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,237,HP3130D,STORAGE,c010fbf0-6bb3-4aac-a21d-215679389f66-00947d96,1
157,HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,85,HP3120B,OFFICE,20d7622d-978b-49e2-a948-380dc195da73-002d53e7,1
157,HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,86,HP3120E,OFFICE,20d7622d-978b-49e2-a948-380dc195da73-002d53e8,1
157,HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,87,HP3120F,OFFICE,20d7622d-978b-49e2-a948-380dc195da73-002d53e9,1
157,HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,88,HP3120G,OFFICE,20d7622d-978b-49e2-a948-380dc195da73-002d53ea,1
157,HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,160,HP3120M,OFFICE,484585ff-557f-4d0c-95e9-ab9d3c1b78e2-003ac6ee,1
157,HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,89,HP3120J,OFFICE,20d7622d-978b-49e2-a948-380dc195da73-002d53ec,1
157,HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,161,HP3120D,OFFICE,a358ad2b-b01b-41a8-be40-5511aede3510-003b1d1a,1
157,HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,214,HP3100,ADMIN ENTRY,c03294b1-3427-4409-992c-4d66fdf61132-004cdc08,1
58,HP2203,CLASSROOM STORAGE HP2203,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac989,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1
620,HP6100Y,WAITING / PREFUNCTION HP6100Y,092b4ff3-5418-42fa-a49d-bccb1fdd71a2-009c86f7,615,HP6100A,DEAN'S EXECUTIVE EDUCATION,092b4ff3-5418-42fa-a49d-bccb1fdd71a2-009c8682,1
59,HP2310A,AV CLO. HP2310A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac98f,36,HP2310,CLASSROOM,a28d7aad-0a5d-48a0-8058-eda071dcaf8f-003132e1,1
60,HP2306A,AV CLO. HP2306A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac992,32,HP2306,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c436b,1
61,HP2304A,AV CLO. HP2304A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac995,31,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,1
61,HP2304A,AV CLO. HP2304A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac995,73,HP2304B,CL STO.,4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b6df,1
482,HP5110E,OFFICE HP5110E,8761029a-7949-451f-bead-5894f98e32b0-00486c40,476,HP5110C,OFFICE,8761029a-7949-451f-bead-5894f98e32b0-00486bfa,1
482,HP5110E,OFFICE HP5110E,8761029a-7949-451f-bead-5894f98e32b0-00486c40,474,HP5110D,OFFICE,8761029a-7949-451f-bead-5894f98e32b0-00486bf4,1
482,HP5110E,OFFICE HP5110E,8761029a-7949-451f-bead-5894f98e32b0-00486c40,489,HP-C51A,ADMIN COR.,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af41e,1
265,HP4140C,STAFF OFFICE HP4140C,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b9,246,HP4140E,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a0,1
265,HP4140C,STAFF OFFICE HP4140C,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b9,251,HP4140D,STAFF OFFICE,8a8fbecc-27a0-454f-b487-b9ad6dd89786-002cc8c2,1
