Room Number,Room Name,Room Unique ID,Level,Touching Rooms
HP2200A,VESTIBULE HP2200A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac986,LEVEL 02,HP2202;HP2002;HP2004
HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,LEVEL 03,HP3100B;HP3130D;HP3120B;HP3120E;HP3120F;HP3120G;HP3120M;HP3120J;HP3120D;HP3100;HP-C31C
HP2203,CLASSROOM STORAGE HP2203,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac989,LEVEL 02,HP2002;HP2004
HP6100Y,WAITING / PREFUNCTION HP6100Y,092b4ff3-5418-42fa-a49d-bccb1fdd71a2-009c86f7,LEVEL 06,HP6100A
HP2310A,AV CLO. HP2310A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac98f,LEVEL 02,HP2310
HP2306A,AV CLO. HP2306A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac992,LEVEL 02,HP2306
HP2304A,AV CLO. HP2304A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac995,LEVEL 02,HP2304;HP2304B
HP5110E,OFFICE HP5110E,8761029a-7949-451f-bead-5894f98e32b0-00486c40,LEVEL 05,HP5110C;HP5110D;HP-C51A
HP4140C,STAFF OFFICE HP4140C,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b9,LEVEL 04,HP4140E;HP4140D;HP-C41E
HP0014,MAINTENANCE SHOP HP0014,c8c59508-fbc4-421f-8f17-658645ecbfc6-00a8c8d2,LEVEL 01,HP0010
HP3306A,AV CLO. HP3306A,daeff68d-d9a4-462e-b027-bf3b609bf202-006b0bcc,LEVEL 03,HP3306
HP5209,MAKERSPACE MEDIA LAB HP5209,02e8bcb1-d354-4633-936e-deb3c8a27a36-002bfcca,LEVEL 05,HP5205;HP5020;HP-C50B
HP3207,DATA HP3207,8f8a98cb-64bc-42ae-9d99-d208628062c0-009af99c,LEVEL 03,HP-C30B
HP3310A,AV CLO. HP3310A,daeff68d-d9a4-462e-b027-bf3b609bf202-006b0beb,LEVEL 03,HP3310;HP3312A
HP3120S,OFFICE HP3120S,66012009-ce1e-488e-95c7-106a3df10f70-003bac5a,LEVEL 03,HP3120U;HP3120Y;HP3120P;HP-C31B;HP3120W;HP3120V;HP3120R;HP3120Q
HP5002,EAST ATRIUM HP5002,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,LEVEL 05,HP-ST-502;HP5205;HP5202;HP5005;HP5304;HP-ST-501;HP-EL-1;HP5312;HP5306;HP-EL-2;HP5302
HP6310,BREAK /OFFICE HP6310,9c366077-349c-4b85-95f7-9501b769eaa4-0043c40f,LEVEL 06,HP6308;HP-C63B
HP6369,SP STORAGE HP6369,3cd687a1-e134-47f3-89b8-4a07257f0e1c-00468dd7,LEVEL 06,HP-C63C;HP-C63D;HP6365
HP1012,TOILET HP1012,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,LEVEL 01,HP1012A;HP-C10A
HP1013,TOILET HP1013,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,LEVEL 01,HP-C10A;HP1013A
HP-C41B,ADMIN CORR. HP-C41B,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089b8bf,LEVEL 04,HP4120A;HP4120U;HP4120P;HP4120W;HP4120X;HP4120Z;HP4120V;HP4120AA;HP4120Q;HP4120N;HP4120R;HP4120Y;HP4120S;HP4120T
HP-C51B,ADMIN CORR. HP-C51B,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089b90c,LEVEL 05,HP5120Y;HP5120A;HP5120Q;HP5120AA;HP5120CC;HP5120W;HP5120R;HP5120Z;HP5120X;HP5120BB;HP5120S;HP5120T;HP5120V;HP5120U;HP5120P
HP6344A,STORAGE HP6344A,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00726c95,LEVEL 06,HP6344;HP-C60C;HP6340;HP6342;HP6002
HP-C50B,PUBLIC CORR. HP-C50B,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089b9e5,LEVEL 05,HP5205;HP5209;HP5206;HP-C60B;HP5207;HP5233;HP5020;HP5019
HP3120N,CONF(8) HP3120N,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c432,LEVEL 03,HP-C31B
HP5233,WEST ATRIUM HP5233,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089b9e8,LEVEL 05,HP-C50B;HP5207;HP5208
HP-C31F,ADMIN CORR. HP-C31F,1f3a85a3-945a-4cfb-abf4-73936d04dbfe-008992d2,LEVEL 03,HP3140DD;HP3140FF;HP3140CC;HP3140N;HP3004;HP3140AA;HP3140Z;HP3140Y;HP3140T;HP3140P;HP3140Q;HP3140HH;HP3140U;HP3140S;HP3140R;HP3157A;HP3140X;HP3140W;HP3140V;HP3153;HP3157;HP3155;HP3140F;HP3151;HP-C31D;HP3140GG;HP3140G;HP3140EE
HP5220,ADMIN CORR. HP5220,1f3a85a3-945a-4cfb-abf4-73936d04dbfe-008992d5,LEVEL 03,HP3010D;HP3130C;HP3151;HP3140M;HP3140K;HP3140J;HP3140H;HP3010C;HP3140G;HP3140L
HP3014,ELECT HP3014,d17140ae-73d7-4137-8f33-31de6e23511e-0087fd3c,LEVEL 03,HP-C30B
HP-EL-2,ELEVATOR HP-EL-2,2bbdc6c7-452f-4a6d-ae3e-161ad700afac-011640da,PENTHOUSE,HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP-EL-1;HP1014;HP-EL-2;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP2303,RECEIVING/LOADING HP2303,9636b62e-8b9e-43fa-a4a9-f3405902d751-003de88b,LEVEL 02,HP2303B;HP2004;HP2303A;HP2002;HP2303C
HP5221,WEST ATRIUM HP5221,1192b38b-86e4-4f47-ae4d-0e23108f4710-0089af07,LEVEL 04,HP4210;HP4208
HP4002,EAST ATRIUM HP4002,1192b38b-86e4-4f47-ae4d-0e23108f4710-0089af0a,LEVEL 04,HP4312;HP-ST-401;HP-EL-2;HP4202;HP4312A;HP-EL-1;HP4304;HP4308;HP4306;HP4204;HP-C41F;HP4302;HP4306A;HP4005;HP4310;HP4304A;HP-ST-402
HP6302,STORAGE HP6302,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00331bd5,LEVEL 06,HP6306;HP-C63A;HP6304
HP3110R,OFFICE HP3110R,a4a4aed8-5bcf-466e-8a97-51854c0bd956-003b1ed9,LEVEL 03,HP3110S;HP3110Q;HP3110M;HP3110N;HP-C31A;HP3110P
HP-C40B,PUBLIC CORR. HP-C40B,1192b38b-86e4-4f47-ae4d-0e23108f4710-0089af24,LEVEL 04,HP4205;HP4206;HP4016;HP4209;HP4204;HP4207;HP4014
HP4120W,OFFICE HP4120W,4a653e06-fb9a-4797-9441-327d6da0ffac-0044ca89,LEVEL 04,HP4120Q;HP4120U;HP4120P;HP4120R;HP-C41B;HP4120S;HP4120X;HP4120V
HP5120E,STAFF OFFICE HP5120E,6ff27a87-62af-40f8-a24b-83e797282507-003ddfa7,LEVEL 05,HP5130C;HP5120G;HP5120C;HP5120A;HP-C51C;HP5120J
HP4120X,OFFICE HP4120X,4a653e06-fb9a-4797-9441-327d6da0ffac-0044ca8d,LEVEL 04,HP4120Q;HP4120U;HP4120P;HP4120W;HP4120R;HP-C41B;HP4120S;HP4120Z;HP4120V
